DATE,VALUE
2001-01-02,5.98250
2001-01-03,5.96250
2001-01-04,6.15250
2001-01-05,6.15125
2001-01-08,6.12000
2001-01-09,6.11094
2001-01-10,6.14125
2001-01-11,6.25000
2001-01-12,6.25000
2001-01-15,6.22188
2001-01-16,6.16844
2001-01-17,6.13250
2001-01-18,6.14375
2001-01-19,6.12250
2001-01-22,6.11875
2001-01-23,6.10344
2001-01-24,6.13406
2001-01-25,6.13000
2001-01-26,6.12625
2001-01-29,6.11000
2001-01-30,6.06813
2001-01-31,6.02000
2001-02-01,5.97250
2001-02-02,5.96688
2001-02-05,5.79313
2001-02-06,5.67125
2001-02-07,5.59063
2001-02-08,5.59063
2001-02-09,5.52813
2001-02-12,5.51250
2001-02-13,5.55000
2001-02-14,5.63625
2001-02-15,5.64250
2001-02-16,5.63625
2001-02-19,5.61750
2001-02-20,5.62250
2001-02-21,5.60625
2001-02-22,5.59844
2001-02-23,5.62375
2001-02-26,5.65906
2001-02-27,5.76250
2001-02-28,5.73750
2001-03-01,5.75000
2001-03-02,5.75750
2001-03-05,5.75000
2001-03-06,5.64375
2001-03-07,5.47219
2001-03-08,5.50000
2001-03-09,5.46719
2001-03-12,5.42438
2001-03-13,5.39250
2001-03-14,5.34219
2001-03-15,5.35938
2001-03-16,5.34375
2001-03-19,5.28063
2001-03-20,5.29500
2001-03-21,5.28563
2001-03-22,5.27500
2001-03-23,5.34438
2001-03-26,5.38438
2001-03-27,5.38750
2001-03-28,5.38000
2001-03-29,5.36750
2001-03-30,5.22188
2001-04-02,5.12875
2001-04-03,5.08063
2001-04-04,4.85875
2001-04-05,4.87375
2001-04-06,4.90438
2001-04-09,4.88875
2001-04-10,4.89375
2001-04-11,4.93625
2001-04-12,4.96719
2001-04-17,4.98750
2001-04-18,4.98438
2001-04-19,4.96438
2001-04-20,5.01000
2001-04-23,5.01250
2001-04-24,4.99219
2001-04-25,5.00000
2001-04-26,5.03750
2001-04-27,5.08563
2001-04-30,5.09063
2001-05-01,4.92625
2001-05-02,4.96438
2001-05-03,4.93156
2001-05-04,4.94250
2001-05-08,4.93938
2001-05-09,4.92438
2001-05-10,4.94688
2001-05-11,4.94625
2001-05-14,5.00000
2001-05-15,5.01250
2001-05-16,5.00250
2001-05-17,4.99219
2001-05-18,5.00000
2001-05-21,4.98438
2001-05-22,4.99219
2001-05-23,4.99000
2001-05-24,4.96719
2001-05-25,5.00000
2001-05-29,4.98000
2001-05-30,4.96750
