DATE,VALUE
2001-01-02,5.75000
2001-01-03,5.75000
2001-01-04,5.62250
2001-01-05,5.62750
2001-01-08,5.62167
2001-01-09,5.66500
2001-01-10,5.66167
2001-01-11,5.65333
2001-01-12,5.66000
2001-01-15,5.66333
2001-01-16,5.65333
2001-01-17,5.66833
2001-01-18,5.63333
2001-01-19,5.62167
2001-01-22,5.60833
2001-01-23,5.59167
2001-01-24,5.56000
2001-01-25,5.56000
2001-01-26,5.55667
2001-01-29,5.55167
2001-01-30,5.53333
2001-01-31,5.51000
2001-02-01,5.50667
2001-02-02,5.50833
2001-02-05,5.50833
2001-02-06,5.50000
2001-02-07,5.50000
2001-02-08,5.50000
2001-02-09,5.49833
2001-02-12,5.49000
2001-02-13,5.47333
2001-02-14,5.46167
2001-02-15,5.45333
2001-02-16,5.45667
2001-02-19,5.45000
2001-02-20,5.41667
2001-02-21,5.40667
2001-02-22,5.38500
2001-02-23,5.38000
2001-02-26,5.35333
2001-02-27,5.29833
2001-02-28,5.28500
2001-03-01,5.26667
2001-03-02,5.25667
2001-03-05,5.23000
2001-03-06,5.20833
2001-03-07,5.06042
2001-03-08,5.04000
2001-03-09,5.04167
2001-03-12,5.04500
2001-03-13,5.02667
2001-03-14,5.01083
2001-03-15,5.00167
2001-03-16,4.99167
2001-03-19,4.99667
2001-03-20,4.99167
2001-03-21,4.99000
2001-03-22,4.98667
2001-03-23,4.98500
2001-03-26,4.98000
2001-03-27,4.98667
2001-03-28,4.99000
2001-03-29,5.00000
2001-03-30,4.99667
2001-04-02,4.98667
2001-04-03,4.97000
2001-04-04,4.97333
2001-04-05,4.96833
2001-04-06,4.94667
2001-04-09,4.92000
2001-04-10,4.88667
2001-04-11,4.79167
2001-04-12,4.76833
2001-04-17,4.75000
2001-04-18,4.76333
2001-04-19,4.73333
2001-04-20,4.71667
2001-04-23,4.74000
2001-04-24,4.73000
2001-04-25,4.73500
2001-04-26,4.74333
2001-04-27,4.75000
2001-04-30,4.75000
2001-05-01,4.75000
2001-05-02,4.75333
2001-05-03,4.75500
2001-05-04,4.76000
2001-05-08,4.75500
2001-05-09,4.76000
2001-05-10,4.75167
2001-05-11,4.73333
2001-05-14,4.72167
2001-05-15,4.72333
2001-05-16,4.70667
2001-05-17,4.63167
2001-05-18,4.67000
2001-05-21,4.65500
2001-05-22,4.63167
2001-05-23,4.61000
2001-05-24,4.56000
2001-05-25,4.50500
2001-05-29,4.51000
2001-05-30,4.56000
2001-05-31,4.58167
2001-06-01,4.57833
2001-06-04,4.56500
2001-06-05,4.56000
2001-06-06,4.55333
2001-06-07,4.54833
2001-06-08,4.55000
2001-06-11,4.55500
2001-06-12,4.54500
2001-06-13,4.56000
2001-06-14,4.56167
2001-06-15,4.56167
2001-06-18,4.56167
2001-06-19,4.55500
2001-06-20,4.54833
2001-06-21,4.54167
2001-06-22,4.54333
