DATE,VALUE
2001-01-02,5.75000
2001-01-03,5.75000
2001-01-04,5.67500
2001-01-05,5.67667
2001-01-08,5.69000
2001-01-09,5.71333
2001-01-10,5.70667
2001-01-11,5.72500
2001-01-12,5.73667
2001-01-15,5.77000
2001-01-16,5.77833
2001-01-17,5.78167
2001-01-18,5.75500
2001-01-19,5.75000
2001-01-22,5.75000
2001-01-23,5.67667
2001-01-24,5.58500
2001-01-25,5.56750
2001-01-26,5.56167
2001-01-29,5.56000
2001-01-30,5.56000
2001-01-31,5.54500
2001-02-01,5.51000
2001-02-02,5.51333
2001-02-05,5.52000
2001-02-06,5.50833
2001-02-07,5.50000
2001-02-08,5.50000
2001-02-09,5.50500
2001-02-12,5.50000
2001-02-13,5.48667
2001-02-14,5.47667
2001-02-15,5.46167
2001-02-16,5.45833
2001-02-19,5.47000
2001-02-20,5.46167
2001-02-21,5.48167
2001-02-22,5.49167
2001-02-23,5.48333
2001-02-26,5.48167
2001-02-27,5.50500
2001-02-28,5.51000
2001-03-01,5.50000
2001-03-02,5.51833
2001-03-05,5.50500
2001-03-06,5.31000
2001-03-07,5.07333
2001-03-08,5.04000
2001-03-09,5.03167
2001-03-12,5.05833
2001-03-13,5.04167
2001-03-14,5.03000
2001-03-15,5.02500
2001-03-16,5.02333
2001-03-19,5.03000
2001-03-20,5.04333
2001-03-21,5.03833
2001-03-22,5.02000
2001-03-23,5.01167
2001-03-26,5.01833
2001-03-27,5.00833
2001-03-28,5.02333
2001-03-29,5.02500
2001-03-30,5.15750
2001-04-02,5.07167
2001-04-03,5.06000
2001-04-04,5.04167
2001-04-05,5.01500
2001-04-06,5.00000
2001-04-09,5.00000
2001-04-10,5.00000
2001-04-11,4.98500
2001-04-12,5.00500
2001-04-17,4.79667
2001-04-18,4.77333
2001-04-19,4.75000
2001-04-20,4.75000
2001-04-23,4.75000
2001-04-24,4.75000
2001-04-25,4.75000
2001-04-26,4.77000
2001-04-27,4.80833
2001-04-30,4.93167
2001-05-01,4.94333
2001-05-02,4.85500
2001-05-03,4.85417
2001-05-04,4.83667
2001-05-08,4.81833
2001-05-09,4.80833
2001-05-10,4.79167
2001-05-11,4.76500
2001-05-14,4.77000
2001-05-15,4.83333
2001-05-16,4.79000
2001-05-17,4.77500
2001-05-18,4.80000
2001-05-21,.
2001-05-22,4.80667
2001-05-23,4.81000
2001-05-24,4.78833
2001-05-25,4.76500
2001-05-29,4.56000
2001-05-30,4.56333
2001-05-31,4.75000
2001-06-01,4.73667
2001-06-04,4.61333
2001-06-05,4.56667
2001-06-06,4.54333
2001-06-07,4.55000
2001-06-08,4.55000
2001-06-11,4.55667
2001-06-12,4.55500
2001-06-13,4.56000
2001-06-14,4.56667
2001-06-15,4.58333
2001-06-18,4.56833
2001-06-19,4.55000
2001-06-20,4.55167
2001-06-21,4.54333
2001-06-22,4.56000
