DATE,VALUE
1989-01-03,4.76563
1989-01-04,5.00000
1989-01-05,5.12500
1989-01-06,5.25000
1989-01-09,5.50000
1989-01-10,5.43750
1989-01-11,5.43750
1989-01-12,5.43750
1989-01-13,5.43750
1989-01-16,5.50000
1989-01-17,5.57813
1989-01-18,5.68750
1989-01-19,5.81250
1989-01-20,5.68750
1989-01-23,5.62500
1989-01-24,5.37500
1989-01-25,5.39063
1989-01-26,5.37500
1989-01-27,5.50000
1989-01-30,5.56250
1989-01-31,5.68750
1989-02-01,5.75000
1989-02-02,5.75000
1989-02-03,5.68750
1989-02-06,5.75000
1989-02-07,5.81250
1989-02-08,5.79688
1989-02-09,5.81250
1989-02-10,5.62500
1989-02-13,5.75000
1989-02-14,5.75000
1989-02-15,5.87500
1989-02-16,5.81250
1989-02-17,5.79688
1989-02-20,5.75000
1989-02-21,5.81250
1989-02-22,5.81250
1989-02-23,5.87500
1989-02-24,5.87500
1989-02-27,6.12500
1989-02-28,6.00000
1989-03-01,5.81250
1989-03-02,5.87500
1989-03-03,5.75000
1989-03-06,5.81250
1989-03-07,5.87500
1989-03-08,5.87500
1989-03-09,5.90625
1989-03-10,5.81250
1989-03-13,5.81250
1989-03-14,5.68750
1989-03-15,5.56250
1989-03-16,5.56250
1989-03-17,5.68750
1989-03-20,5.81250
1989-03-21,5.75000
1989-03-22,5.62500
1989-03-23,5.62500
1989-03-24,.
1989-03-27,.
1989-03-28,5.75000
1989-03-29,5.87500
1989-03-30,5.75000
1989-03-31,5.68750
1989-04-03,5.68750
1989-04-04,5.68750
1989-04-05,5.68750
1989-04-06,5.68750
1989-04-07,5.68750
1989-04-10,5.87500
1989-04-11,6.03125
1989-04-12,6.06250
1989-04-13,6.12500
1989-04-14,6.31250
1989-04-17,6.25000
1989-04-18,6.50000
1989-04-19,6.43750
1989-04-20,6.50000
1989-04-21,6.68750
1989-04-24,6.87500
1989-04-25,6.81250
1989-04-26,6.71875
1989-04-27,6.56250
1989-04-28,6.62500
1989-05-01,.
1989-05-02,6.93750
1989-05-03,7.06250
1989-05-04,7.09375
1989-05-05,7.12500
1989-05-08,7.18750
1989-05-09,7.25000
1989-05-10,7.26563
1989-05-11,7.18750
1989-05-12,7.25000
1989-05-15,7.29688
1989-05-16,7.31250
1989-05-17,7.57813
1989-05-18,7.81250
1989-05-19,7.48438
1989-05-22,7.75000
1989-05-23,7.62500
1989-05-24,7.85938
1989-05-25,8.00000
1989-05-26,8.43750
1989-05-29,.
1989-05-30,8.31250
1989-05-31,.
1989-06-01,8.31250
1989-06-02,8.00000
1989-06-05,7.18750
1989-06-06,7.50000
1989-06-07,7.25000
1989-06-08,7.25000
1989-06-09,7.25000
1989-06-12,7.43750
1989-06-13,7.43750
1989-06-14,7.37500
1989-06-15,7.43750
1989-06-16,7.31250
1989-06-19,7.18750
1989-06-20,7.00000
1989-06-21,7.06250
1989-06-22,7.00000
1989-06-23,7.06250
1989-06-26,7.06250
1989-06-27,7.31250
1989-06-28,7.37500
1989-06-29,7.43750
1989-06-30,7.56250
1989-07-03,7.50000
1989-07-04,7.43750
1989-07-05,7.25000
1989-07-06,7.25000
1989-07-07,7.18750
1989-07-10,7.06250
1989-07-11,6.93750
1989-07-12,6.93750
1989-07-13,6.93750
1989-07-14,6.93750
1989-07-17,7.06250
1989-07-18,7.12500
1989-07-19,7.18750
1989-07-20,7.18750
1989-07-21,7.18750
1989-07-24,7.25000
1989-07-25,7.37500
1989-07-26,7.37500
1989-07-27,7.12500
1989-07-28,7.12500
1989-07-31,7.12500
1989-08-01,7.12500
1989-08-02,7.18750
1989-08-03,7.25000
1989-08-04,7.31250
1989-08-07,7.37500
1989-08-08,7.31250
1989-08-09,7.18750
1989-08-10,7.12500
1989-08-11,7.18750
1989-08-14,7.37500
1989-08-15,7.43750
1989-08-16,7.43750
1989-08-17,7.31250
1989-08-18,7.37500
1989-08-21,7.37500
1989-08-22,7.37500
1989-08-23,7.37500
1989-08-24,7.43750
1989-08-25,7.43750
1989-08-28,7.37500
1989-08-29,7.37500
1989-08-30,7.43750
1989-08-31,7.50000
1989-09-01,7.50000
1989-09-04,7.50000
1989-09-05,7.62500
1989-09-06,7.62500
1989-09-07,7.59375
1989-09-08,7.48438
1989-09-11,7.62500
1989-09-12,7.57813
1989-09-13,7.62500
1989-09-14,7.79688
1989-09-15,7.75000
1989-09-18,7.75000
1989-09-19,7.68750
1989-09-20,7.56250
1989-09-21,7.50000
1989-09-22,7.50000
1989-09-25,7.56250
1989-09-26,7.62500
1989-09-27,7.81250
1989-09-28,7.68750
1989-09-29,7.75000
1989-10-02,7.75000
1989-10-03,7.62500
1989-10-04,7.62500
1989-10-05,7.62500
1989-10-06,7.62500
1989-10-09,7.56250
1989-10-10,7.64063
1989-10-11,7.75000
1989-10-12,7.81250
1989-10-13,8.00000
1989-10-16,7.87500
1989-10-17,7.87500
1989-10-18,7.75000
1989-10-19,7.62500
1989-10-20,7.56250
1989-10-23,7.62500
1989-10-24,7.62500
1989-10-25,7.56250
1989-10-26,7.56250
1989-10-27,7.56250
1989-10-30,7.68750
