DATE,VALUE
1997-12-01,1.24609
1997-12-02,1.11719
1997-12-03,1.18750
1997-12-04,1.18750
1997-12-05,1.13281
1997-12-08,1.13281
1997-12-09,1.12891
1997-12-10,1.12891
1997-12-11,0.85156
1997-12-12,0.53125
1997-12-15,0.57813
1997-12-16,1.00781
1997-12-17,1.00000
1997-12-18,0.87500
1997-12-19,1.00000
1997-12-22,1.07031
1997-12-23,2.25000
1997-12-24,2.24219
1997-12-25,.
1997-12-26,.
1997-12-29,2.14844
1997-12-30,1.12500
1997-12-31,1.12500
1998-01-01,.
1998-01-02,1.13281
1998-01-05,1.15234
1998-01-06,1.12500
1998-01-07,1.00000
1998-01-08,0.94922
1998-01-09,0.87500
1998-01-12,0.85156
1998-01-13,1.08594
1998-01-14,1.25781
1998-01-15,1.21875
1998-01-16,1.28906
1998-01-19,1.25000
1998-01-20,1.29297
1998-01-21,1.27344
1998-01-22,1.36328
1998-01-23,1.33203
1998-01-26,1.25781
1998-01-27,1.21484
1998-01-28,1.06641
1998-01-29,0.95313
1998-01-30,1.00000
1998-02-02,1.18750
1998-02-03,1.18750
1998-02-04,1.02344
1998-02-05,1.00391
1998-02-06,1.05469
1998-02-09,1.06641
1998-02-10,1.06641
1998-02-11,1.06250
1998-02-12,1.06250
1998-02-13,0.87500
1998-02-16,0.81250
1998-02-17,0.81250
1998-02-18,0.81250
1998-02-19,0.81250
1998-02-20,0.81250
1998-02-23,0.83984
1998-02-24,0.87109
1998-02-25,0.87500
1998-02-26,0.82031
1998-02-27,0.81641
1998-03-02,0.81250
1998-03-03,0.81250
1998-03-04,0.93750
1998-03-05,0.93750
1998-03-06,0.93750
1998-03-09,1.00000
1998-03-10,1.00781
1998-03-11,1.03125
1998-03-12,1.03516
1998-03-13,1.00781
1998-03-16,1.00000
1998-03-17,1.03906
1998-03-18,1.05078
1998-03-19,1.12109
1998-03-20,1.18750
1998-03-23,1.38281
1998-03-24,1.31250
1998-03-25,1.32813
1998-03-26,1.34375
1998-03-27,1.39844
1998-03-30,1.25000
1998-03-31,1.40625
1998-04-01,1.43750
1998-04-02,1.45703
1998-04-03,1.43750
1998-04-06,1.37500
1998-04-07,1.43359
1998-04-08,1.32422
1998-04-09,1.23047
1998-04-10,.
1998-04-13,.
1998-04-14,1.12500
1998-04-15,1.14063
1998-04-16,1.18750
1998-04-17,1.18750
1998-04-20,1.18750
1998-04-21,1.23438
1998-04-22,1.31250
1998-04-23,1.32031
1998-04-24,1.37500
1998-04-27,1.47656
1998-04-28,1.50000
1998-04-29,1.43750
1998-04-30,1.50000
1998-05-01,1.50000
1998-05-04,.
1998-05-05,1.52344
1998-05-06,1.55859
1998-05-07,1.55859
1998-05-08,1.56250
1998-05-11,1.60547
1998-05-12,1.75000
1998-05-13,1.67188
1998-05-14,1.66406
1998-05-15,1.66016
1998-05-18,1.68750
1998-05-19,1.12500
1998-05-20,1.84375
1998-05-21,1.86719
1998-05-22,1.88281
1998-05-25,.
1998-05-26,1.81250
1998-05-27,1.75000
1998-05-28,1.71875
1998-05-29,1.69141
1998-06-01,1.69922
1998-06-02,1.70313
1998-06-03,1.85156
1998-06-04,2.00000
1998-06-05,2.10938
1998-06-08,2.25000
1998-06-09,2.22656
1998-06-10,1.90625
1998-06-11,1.75000
1998-06-12,1.69141
1998-06-15,1.75391
1998-06-16,1.87500
1998-06-17,1.86719
1998-06-18,1.87500
1998-06-19,1.83984
1998-06-22,2.00000
1998-06-23,2.08984
1998-06-24,2.12500
1998-06-25,2.25000
1998-06-26,2.38281
1998-06-29,2.32031
1998-06-30,2.24219
1998-07-01,2.14844
1998-07-02,2.00000
1998-07-03,2.06250
1998-07-06,2.11328
1998-07-07,2.02344
1998-07-08,2.06250
1998-07-09,2.03906
1998-07-10,2.12500
1998-07-13,2.17969
1998-07-14,2.11328
1998-07-15,2.06250
1998-07-16,2.00000
1998-07-17,2.01172
1998-07-20,2.00391
1998-07-21,2.01172
1998-07-22,2.00000
1998-07-23,2.12500
1998-07-24,2.06641
1998-07-27,2.02344
1998-07-28,2.00000
1998-07-29,1.93750
1998-07-30,1.74219
1998-07-31,1.70313
1998-08-03,1.71094
1998-08-04,1.69922
1998-08-05,1.62109
1998-08-06,1.57031
1998-08-07,1.51563
1998-08-10,1.49609
1998-08-11,1.62500
1998-08-12,1.57813
1998-08-13,1.62500
1998-08-14,1.68359
1998-08-17,1.69141
1998-08-18,1.77734
1998-08-19,1.75000
1998-08-20,1.76172
1998-08-21,1.76953
1998-08-24,1.76172
1998-08-25,1.80078
1998-08-26,1.85547
1998-08-27,1.84375
1998-08-28,1.56641
1998-08-31,.
1998-09-01,1.55469
1998-09-02,1.58594
1998-09-03,1.57031
1998-09-04,1.62109
1998-09-07,1.63672
1998-09-08,1.60938
1998-09-09,1.60156
1998-09-10,1.55078
1998-09-11,1.50000
1998-09-14,1.43750
1998-09-15,1.37500
1998-09-16,1.37500
1998-09-17,1.25000
1998-09-18,1.22656
1998-09-21,1.24609
1998-09-22,1.50000
1998-09-23,1.55859
1998-09-24,1.57813
1998-09-25,1.40625
1998-09-28,1.48828
1998-09-29,1.31250
1998-09-30,1.28125
1998-10-01,1.10156
1998-10-02,1.10938
1998-10-05,1.14844
1998-10-06,1.16406
1998-10-07,1.32031
1998-10-08,1.17969
1998-10-09,1.07031
1998-10-12,1.06641
1998-10-13,1.13719
1998-10-14,1.16531
1998-10-15,1.17703
1998-10-16,1.12688
1998-10-19,1.12625
1998-10-20,1.17328
1998-10-21,1.18281
1998-10-22,1.25391
1998-10-23,1.19969
1998-10-26,1.12250
1998-10-27,0.94563
1998-10-28,0.98625
1998-10-29,0.89391
1998-10-30,0.94344
1998-11-02,1.04938
1998-11-03,1.17344
1998-11-04,1.24750
1998-11-05,1.29016
1998-11-06,1.35719
1998-11-09,1.44281
1998-11-10,1.43063
1998-11-11,1.35985
1998-11-12,1.30906
1998-11-13,1.29391
1998-11-16,1.25000
1998-11-17,1.18625
1998-11-18,1.07250
1998-11-19,1.00000
1998-11-20,1.19938
1998-11-23,1.28250
1998-11-24,1.37750
1998-11-25,1.39875
1998-11-26,1.63828
1998-11-27,1.50000
1998-11-30,1.55875
1998-12-01,1.49000
1998-12-02,1.30625
1998-12-03,1.23000
1998-12-04,1.05000
1998-12-07,1.04266
1998-12-08,1.05250
1998-12-09,0.91250
1998-12-10,0.69688
1998-12-11,0.53688
1998-12-14,0.51625
1998-12-15,0.62375
1998-12-16,0.63500
1998-12-17,0.69688
1998-12-18,0.74250
1998-12-21,0.91703
1998-12-22,1.11563
1998-12-23,3.30938
1998-12-24,3.19844
1998-12-25,.
1998-12-28,.
1998-12-29,3.15344
1998-12-30,0.97250
1998-12-31,1.08875
1999-01-01,.
1999-01-04,1.14063
1999-01-05,1.10188
1999-01-06,0.94578
1999-01-07,0.97375
1999-01-08,0.97344
1999-01-11,1.13313
1999-01-12,1.28031
1999-01-13,1.10000
1999-01-14,1.01875
1999-01-15,0.99125
1999-01-18,1.05000
1999-01-19,1.05531
1999-01-20,1.07781
1999-01-21,1.11333
1999-01-22,0.97333
1999-01-25,0.95833
1999-01-26,1.09958
1999-01-27,1.16271
1999-01-28,1.13833
1999-01-29,1.14583
1999-02-01,1.14167
1999-02-02,1.18250
1999-02-03,1.14000
1999-02-04,1.18125
1999-02-05,1.18250
1999-02-08,1.20146
1999-02-09,1.21813
1999-02-10,1.17000
1999-02-11,1.07667
1999-02-12,1.18125
1999-02-15,1.18583
1999-02-16,1.23479
1999-02-17,1.22333
1999-02-18,1.25000
1999-02-19,1.29667
1999-02-22,1.34667
1999-02-23,1.36417
1999-02-24,1.33208
1999-02-25,1.28333
1999-02-26,1.27500
1999-03-01,1.26667
1999-03-02,1.33167
1999-03-03,1.34083
1999-03-04,1.31875
1999-03-05,1.31375
1999-03-08,1.31375
1999-03-09,1.33167
1999-03-10,1.28667
1999-03-11,1.15667
1999-03-12,1.12333
1999-03-15,1.09500
1999-03-16,1.10833
1999-03-17,1.11917
1999-03-18,1.12417
1999-03-19,1.20667
1999-03-22,0.97333
1999-03-23,1.30875
1999-03-24,1.25000
1999-03-25,1.22000
1999-03-26,1.21167
1999-03-29,1.24000
1999-03-30,1.18125
1999-03-31,1.18417
1999-04-01,1.18250
1999-04-02,.
1999-04-05,.
1999-04-06,1.18000
1999-04-07,1.17833
1999-04-08,1.16500
1999-04-09,0.94458
1999-04-12,0.95333
1999-04-13,0.99333
1999-04-14,0.97000
1999-04-15,0.90167
1999-04-16,0.83750
1999-04-19,0.82875
1999-04-20,0.83208
1999-04-21,0.82875
1999-04-22,0.93292
1999-04-23,1.01167
1999-04-26,1.06021
1999-04-27,1.11000
1999-04-28,1.13000
1999-04-29,0.99000
1999-04-30,1.00000
1999-05-03,.
1999-05-04,1.00000
1999-05-05,0.96167
1999-05-06,0.94792
1999-05-07,1.01500
1999-05-10,1.04521
1999-05-11,1.07667
1999-05-12,1.02167
1999-05-13,0.96500
1999-05-14,0.96167
1999-05-17,1.01000
1999-05-18,1.01000
1999-05-19,0.97833
1999-05-20,1.00500
1999-05-21,1.00500
1999-05-24,1.00167
1999-05-25,1.00000
1999-05-26,1.04667
1999-05-27,0.98000
1999-05-28,0.99500
1999-05-31,.
1999-06-01,1.00000
1999-06-02,1.00000
1999-06-03,0.99667
1999-06-04,0.94938
1999-06-07,0.93792
1999-06-08,0.93292
1999-06-09,0.92667
1999-06-10,0.93125
1999-06-11,0.92625
1999-06-14,0.89667
1999-06-15,0.86583
1999-06-16,0.85833
1999-06-17,0.88333
1999-06-18,0.94000
1999-06-21,1.00000
1999-06-22,1.33208
1999-06-23,1.46958
1999-06-24,1.50000
1999-06-25,1.50000
1999-06-28,1.54500
1999-06-29,1.13833
1999-06-30,1.13500
1999-07-01,1.07375
1999-07-02,1.13000
1999-07-05,1.11167
1999-07-06,1.10000
1999-07-07,1.09833
1999-07-08,1.09500
1999-07-09,1.06208
1999-07-12,1.00333
1999-07-13,0.94000
1999-07-14,0.89833
1999-07-15,0.86833
1999-07-16,0.92667
1999-07-19,0.90000
1999-07-20,0.88000
1999-07-21,0.84167
1999-07-22,1.04833
1999-07-23,1.07542
1999-07-26,1.07875
1999-07-27,1.05875
1999-07-28,1.04354
1999-07-29,0.92500
1999-07-30,0.94667
1999-08-02,1.02500
1999-08-03,1.03500
1999-08-04,1.02667
1999-08-05,0.97833
1999-08-06,0.93333
1999-08-09,0.93167
1999-08-10,0.89833
1999-08-11,0.86333
1999-08-12,0.82833
1999-08-13,0.81333
1999-08-16,0.80667
1999-08-17,0.79500
1999-08-18,0.82000
1999-08-19,0.99667
1999-08-20,1.00000
1999-08-23,1.06500
1999-08-24,1.05167
1999-08-25,1.01000
1999-08-26,0.95833
1999-08-27,0.94500
1999-08-30,.
1999-08-31,0.91167
1999-09-01,0.88667
1999-09-02,0.86333
1999-09-03,0.81042
1999-09-06,0.80833
1999-09-07,0.88333
1999-09-08,0.86667
1999-09-09,0.85333
1999-09-10,0.87500
1999-09-13,0.91667
1999-09-14,0.91833
1999-09-15,0.94167
1999-09-16,1.04667
1999-09-17,1.10333
1999-09-20,1.12583
1999-09-21,1.16667
1999-09-22,1.19167
1999-09-23,1.18000
1999-09-24,1.16333
1999-09-27,1.19167
1999-09-28,1.26833
1999-09-29,1.17167
1999-09-30,1.18833
1999-10-01,1.24000
1999-10-04,1.32333
1999-10-05,1.34167
1999-10-06,1.25000
1999-10-07,1.25000
1999-10-08,1.21500
1999-10-11,1.17000
1999-10-12,1.17500
1999-10-13,1.18792
1999-10-14,1.17833
1999-10-15,1.15000
1999-10-18,1.10333
1999-10-19,1.11083
1999-10-20,1.10333
1999-10-21,1.23500
1999-10-22,1.19333
1999-10-25,1.18333
1999-10-26,1.18667
1999-10-27,1.17000
1999-10-28,1.11667
1999-10-29,1.11500
1999-11-01,1.10000
1999-11-02,1.14833
1999-11-03,1.27667
1999-11-04,1.25167
1999-11-05,1.15667
1999-11-08,1.14167
1999-11-09,1.09667
1999-11-10,1.06542
1999-11-11,1.07333
1999-11-12,1.07833
1999-11-15,1.08333
1999-11-16,1.09833
1999-11-17,1.20333
1999-11-18,1.31542
1999-11-19,1.34000
1999-11-22,1.39167
1999-11-23,1.32833
1999-11-24,1.24333
1999-11-25,1.19500
1999-11-26,1.15500
1999-11-29,1.15000
1999-11-30,1.14250
1999-12-01,1.08167
1999-12-02,1.06500
1999-12-03,1.17500
1999-12-06,1.18833
1999-12-07,1.13500
1999-12-08,1.34000
1999-12-09,1.07833
1999-12-10,1.05167
1999-12-13,0.84333
1999-12-14,0.88667
1999-12-15,1.02500
1999-12-16,1.14667
1999-12-17,1.17333
1999-12-20,1.17000
1999-12-21,1.15833
1999-12-22,1.15583
1999-12-23,4.00417
1999-12-24,4.18750
1999-12-27,.
1999-12-28,.
1999-12-29,1.33333
1999-12-30,1.19500
1999-12-31,.
2000-01-03,.
