DATE,VALUE
2001-01-02,3.36833
2001-01-03,3.45333
2001-01-04,3.50000
2001-01-05,3.56667
2001-01-08,3.55000
2001-01-09,3.65000
2001-01-10,3.65833
2001-01-11,3.49333
2001-01-12,3.56333
2001-01-15,3.69667
2001-01-16,3.60000
2001-01-17,3.47000
2001-01-18,3.40667
2001-01-19,3.65833
2001-01-22,3.70000
2001-01-23,3.60000
2001-01-24,3.50833
2001-01-25,3.53167
2001-01-26,3.44333
2001-01-29,3.49667
2001-01-30,3.51167
2001-01-31,3.44833
2001-02-01,3.44000
2001-02-02,3.52833
2001-02-05,3.52167
2001-02-06,3.55000
2001-02-07,3.55000
2001-02-08,3.54833
2001-02-09,3.51833
2001-02-12,3.51500
2001-02-13,3.45500
2001-02-14,3.44500
2001-02-15,3.39333
2001-02-16,3.49167
2001-02-19,3.60000
2001-02-20,3.60000
2001-02-21,3.62333
2001-02-22,3.66333
2001-02-23,3.41167
2001-02-26,3.47500
2001-02-27,3.45000
2001-02-28,3.40833
2001-03-01,3.42167
2001-03-02,3.42000
2001-03-05,3.44333
2001-03-06,3.50000
2001-03-07,3.51833
2001-03-08,3.58000
2001-03-09,3.60000
2001-03-12,3.65500
2001-03-13,3.45333
2001-03-14,3.39667
2001-03-15,3.45000
2001-03-16,3.46833
2001-03-19,3.50000
2001-03-20,3.60833
2001-03-21,3.61167
2001-03-22,3.65000
2001-03-23,3.49667
2001-03-26,3.50000
2001-03-27,3.40000
2001-03-28,3.57667
2001-03-29,3.45833
2001-03-30,3.39667
2001-04-02,3.38667
2001-04-03,3.36833
2001-04-04,3.45667
2001-04-05,3.43167
2001-04-06,3.38167
2001-04-09,3.34333
2001-04-10,3.38167
2001-04-11,3.28500
2001-04-12,3.29167
2001-04-13,.
2001-04-16,.
2001-04-17,3.29000
2001-04-18,3.23000
2001-04-19,3.18167
2001-04-20,3.17833
2001-04-23,3.09667
2001-04-24,3.00500
2001-04-25,2.96833
2001-04-26,3.20333
2001-04-27,3.16000
2001-04-30,3.19000
2001-05-01,3.18833
2001-05-02,3.18667
2001-05-03,3.09333
2001-05-04,3.15333
2001-05-07,.
2001-05-08,3.20000
2001-05-09,3.24833
2001-05-10,3.20000
2001-05-11,3.22833
2001-05-14,3.30667
2001-05-15,3.29000
2001-05-16,3.25000
2001-05-17,3.28167
2001-05-18,3.30000
2001-05-21,3.30000
2001-05-22,3.30000
2001-05-23,3.30000
2001-05-24,3.30500
2001-05-25,3.35000
2001-05-28,.
2001-05-29,3.30333
2001-05-30,3.29333
2001-05-31,3.32333
2001-06-01,3.34833
2001-06-04,3.33333
2001-06-05,3.34333
2001-06-06,3.40833
2001-06-07,3.88333
2001-06-08,3.67000
2001-06-11,3.42000
2001-06-12,3.30500
2001-06-13,3.30833
2001-06-14,3.39000
2001-06-15,3.33500
2001-06-18,3.30000
2001-06-19,3.33000
2001-06-20,3.34667
2001-06-21,3.35000
2001-06-22,3.32167
2001-06-25,3.30000
2001-06-26,3.29667
2001-06-27,3.41667
2001-06-28,3.30000
2001-06-29,3.32667
2001-07-02,3.32000
2001-07-03,3.33667
2001-07-04,3.36333
2001-07-05,3.34167
2001-07-06,3.28000
2001-07-09,3.28167
2001-07-10,3.30667
2001-07-11,3.29333
2001-07-12,3.29333
2001-07-13,3.30333
2001-07-16,3.29667
2001-07-17,3.27833
2001-07-18,3.21333
2001-07-19,3.23667
2001-07-20,3.24833
2001-07-23,3.22833
2001-07-24,3.25000
2001-07-25,3.28167
2001-07-26,3.28667
2001-07-27,3.33500
2001-07-30,3.29333
2001-07-31,3.29333
2001-08-01,3.30333
2001-08-02,3.31333
2001-08-03,3.34000
2001-08-06,3.36333
2001-08-07,3.34500
2001-08-08,3.31167
2001-08-09,3.30833
2001-08-10,3.34667
2001-08-13,3.34000
2001-08-14,3.34333
2001-08-15,3.34333
2001-08-16,3.36500
2001-08-17,3.44000
2001-08-20,3.57333
2001-08-21,3.41333
2001-08-22,3.45000
2001-08-23,3.61667
2001-08-24,3.54167
2001-08-27,.
2001-08-28,3.39333
2001-08-29,3.52833
2001-08-30,3.42500
2001-08-31,3.40000
2001-09-03,3.39000
2001-09-04,3.45000
2001-09-05,3.56667
2001-09-06,3.50333
2001-09-07,3.39000
2001-09-10,3.40333
2001-09-11,3.49667
2001-09-12,3.23333
2001-09-13,3.09167
2001-09-14,3.10000
2001-09-17,3.09500
2001-09-18,2.85000
2001-09-19,2.80000
2001-09-20,2.81667
2001-09-21,2.47500
2001-09-24,2.35000
2001-09-25,2.11333
2001-09-26,2.29167
2001-09-27,2.16000
2001-09-28,2.25000
2001-10-01,2.25000
2001-10-02,2.20000
2001-10-03,2.15000
2001-10-04,2.20000
2001-10-05,2.20000
2001-10-08,2.16000
2001-10-09,2.11833
2001-10-10,2.20000
2001-10-11,2.28167
2001-10-12,2.26167
2001-10-15,2.27333
2001-10-16,2.18833
2001-10-17,2.23500
2001-10-18,2.24000
2001-10-19,2.19333
2001-10-22,2.19333
2001-10-23,2.18833
2001-10-24,2.24000
2001-10-25,2.25000
2001-10-26,2.20000
2001-10-29,2.23333
2001-10-30,2.15667
2001-10-31,2.24667
2001-11-01,2.25000
2001-11-02,2.29667
2001-11-05,2.31667
2001-11-06,2.33167
2001-11-07,2.26667
2001-11-08,2.27167
2001-11-09,2.42000
2001-11-12,2.47500
2001-11-13,2.50000
2001-11-14,2.34667
2001-11-15,2.38667
2001-11-16,2.25000
2001-11-19,2.17000
2001-11-20,2.24333
2001-11-21,2.26667
2001-11-22,2.28167
2001-11-23,2.25000
2001-11-26,2.30667
2001-11-27,2.26833
2001-11-28,2.27167
2001-11-29,2.15000
2001-11-30,2.25500
2001-12-03,2.13667
2001-12-04,2.10000
2001-12-05,2.00000
2001-12-06,2.00000
2001-12-07,1.90000
2001-12-10,1.90833
2001-12-11,1.94167
2001-12-12,2.00000
2001-12-13,1.89833
2001-12-14,1.74000
2001-12-17,1.40000
2001-12-18,1.63667
2001-12-19,1.62667
2001-12-20,1.62667
2001-12-21,1.40000
2001-12-24,2.00000
2001-12-25,.
2001-12-26,.
2001-12-27,1.70833
2001-12-28,1.70667
2001-12-31,1.72000
2002-01-01,.
2002-01-02,1.73500
2002-01-03,1.73333
2002-01-04,1.75000
2002-01-07,1.74333
2002-01-08,1.50333
2002-01-09,1.20000
2002-01-10,1.58000
2002-01-11,1.45000
2002-01-14,1.54500
2002-01-15,1.60000
2002-01-16,1.55000
2002-01-17,1.53333
2002-01-18,1.60000
2002-01-21,1.65667
2002-01-22,1.61667
2002-01-23,1.65000
2002-01-24,1.65000
2002-01-25,1.48833
2002-01-28,1.52000
2002-01-29,1.50833
2002-01-30,1.45833
2002-01-31,1.46333
2002-02-01,1.45000
2002-02-04,1.49667
2002-02-05,1.52000
2002-02-06,1.64500
2002-02-07,1.62167
2002-02-08,1.61500
2002-02-11,1.55000
2002-02-12,1.55000
2002-02-13,1.55000
2002-02-14,1.62000
