DATE,VALUE
2003-06-16,2.02000
2003-06-17,2.04750
2003-06-18,2.08000
2003-06-19,2.06250
2003-06-20,2.05000
2003-06-23,2.06000
2003-06-24,2.05950
2003-06-25,2.04000
2003-06-26,2.07750
2003-06-27,2.10750
2003-06-30,2.10250
2003-07-01,2.08000
2003-07-02,2.09250
2003-07-03,2.09750
2003-07-04,2.10188
2003-07-07,2.09000
2003-07-08,2.09750
2003-07-09,2.09500
2003-07-10,2.10000
2003-07-11,2.10250
2003-07-14,2.10250
2003-07-15,2.10750
2003-07-16,2.16000
2003-07-17,2.14000
2003-07-18,2.14500
2003-07-21,2.15000
2003-07-22,2.17500
2003-07-23,2.15500
2003-07-24,2.15000
2003-07-25,2.15500
2003-07-28,2.16000
2003-07-29,2.17625
2003-07-30,2.19000
2003-07-31,2.18000
2003-08-01,2.29063
2003-08-04,2.35250
2003-08-05,2.33563
2003-08-06,2.34125
2003-08-07,2.32313
2003-08-08,2.29313
2003-08-11,2.29438
2003-08-12,2.30938
2003-08-13,2.31750
2003-08-14,2.34000
2003-08-15,2.34500
2003-08-18,2.35125
2003-08-19,2.37750
2003-08-20,2.35438
2003-08-21,2.36375
2003-08-22,2.38000
2003-08-26,2.38250
2003-08-27,2.39000
2003-08-28,2.40000
2003-08-29,2.38750
2003-09-01,2.38500
2003-09-02,2.42000
2003-09-03,2.44500
2003-09-04,2.44250
2003-09-05,2.43000
2003-09-08,2.38500
2003-09-09,2.36750
2003-09-10,2.35000
2003-09-11,2.34750
2003-09-12,2.36000
2003-09-15,2.33250
2003-09-16,2.33000
2003-09-17,2.32000
2003-09-18,2.31500
2003-09-19,2.30750
2003-09-22,2.26438
2003-09-23,2.26688
2003-09-24,2.27500
2003-09-25,2.27250
2003-09-26,2.26000
2003-09-29,2.26000
2003-09-30,2.24000
2003-10-01,2.22000
2003-10-02,2.24000
2003-10-03,2.30750
2003-10-06,2.36750
2003-10-07,2.35750
2003-10-08,2.35000
2003-10-09,2.33750
2003-10-10,2.35500
2003-10-13,2.37938
2003-10-14,2.40250
2003-10-15,2.40500
2003-10-16,2.43750
2003-10-17,2.48000
2003-10-20,2.48500
2003-10-21,2.47000
2003-10-22,2.45500
2003-10-23,2.42500
2003-10-24,2.46000
2003-10-27,2.46000
2003-10-28,2.47750
2003-10-29,2.46000
2003-10-30,2.47750
2003-10-31,2.49000
2003-11-03,2.50063
2003-11-04,2.52500
2003-11-05,2.53000
2003-11-06,2.54500
2003-11-07,2.57250
2003-11-10,2.58250
2003-11-11,2.58000
2003-11-12,2.58750
2003-11-13,2.57250
2003-11-14,2.53000
2003-11-17,2.47000
2003-11-18,2.47750
2003-11-19,2.43000
2003-11-20,2.44750
2003-11-21,2.45250
2003-11-24,2.47000
2003-11-25,2.51000
2003-11-26,2.53500
2003-11-27,2.57750
2003-11-28,2.58000
2003-12-01,2.62500
2003-12-02,2.62750
2003-12-03,2.60750
2003-12-04,2.61750
2003-12-05,2.59000
2003-12-08,2.53750
2003-12-09,2.53000
2003-12-10,2.54500
2003-12-11,2.55500
2003-12-12,2.52000
2003-12-15,2.52000
2003-12-16,2.51000
2003-12-17,2.49000
2003-12-18,2.46000
2003-12-19,2.45750
2003-12-22,2.45688
2003-12-23,2.46000
2003-12-24,2.46000
2003-12-29,2.44250
2003-12-30,2.45000
2003-12-31,2.45000
2004-01-02,2.41500
2004-01-05,2.44063
2004-01-06,2.42625
2004-01-07,2.40750
2004-01-08,2.39750
2004-01-09,2.37500
2004-01-12,2.32000
2004-01-13,2.32000
2004-01-14,2.32500
2004-01-15,2.33500
2004-01-16,2.32500
2004-01-19,2.32500
2004-01-20,2.32750
2004-01-21,2.30000
2004-01-22,2.30000
2004-01-23,2.29500
2004-01-26,2.29750
2004-01-27,2.32250
2004-01-28,2.32000
2004-01-29,2.36500
2004-01-30,2.39250
2004-02-02,2.39000
2004-02-03,2.35250
2004-02-04,2.34250
2004-02-05,2.34250
2004-02-06,2.34500
2004-02-09,2.30000
2004-02-10,2.29000
2004-02-11,2.32250
2004-02-12,2.28250
2004-02-13,2.27750
2004-02-16,2.28000
2004-02-17,2.26500
2004-02-18,2.24750
2004-02-19,2.26500
2004-02-20,2.28000
2004-02-23,2.30938
2004-02-24,2.28688
2004-02-25,2.26875
2004-02-26,2.23375
2004-02-27,2.21125
2004-03-01,2.20750
2004-03-02,2.24250
2004-03-03,2.28500
2004-03-04,2.28000
2004-03-05,2.28750
2004-03-08,2.21750
2004-03-09,2.21000
2004-03-10,2.21000
2004-03-11,2.21750
2004-03-12,2.20000
2004-03-15,2.19250
2004-03-16,2.19250
2004-03-17,2.18500
2004-03-18,2.17000
2004-03-19,2.16250
2004-03-22,2.14750
2004-03-23,2.14750
2004-03-24,2.13750
2004-03-25,2.09000
2004-03-26,2.07250
2004-03-29,2.08000
2004-03-30,2.09500
2004-03-31,2.11000
2004-04-01,2.10000
2004-04-02,2.19000
2004-04-05,2.28000
2004-04-06,2.25750
2004-04-07,2.24500
2004-04-08,2.24250
2004-04-13,2.26500
2004-04-14,2.28750
2004-04-15,2.30000
2004-04-16,2.29250
2004-04-19,2.29000
2004-04-20,2.30000
2004-04-21,2.32500
2004-04-22,2.31250
2004-04-23,2.29250
2004-04-26,2.34000
2004-04-27,2.33250
2004-04-28,2.33250
2004-04-29,2.36750
2004-04-30,2.36000
2004-05-04,2.34000
2004-05-05,2.33500
2004-05-06,2.34000
2004-05-07,2.38750
2004-05-10,2.44000
2004-05-11,2.44500
2004-05-12,2.43500
2004-05-13,2.45500
2004-05-14,2.47500
2004-05-17,2.43000
2004-05-18,2.42750
2004-05-19,2.44500
2004-05-20,2.45000
2004-05-21,2.43750
2004-05-24,2.45750
2004-05-25,2.44250
2004-05-26,2.44500
2004-05-27,2.42500
2004-05-28,2.41750
2004-06-01,2.45500
2004-06-02,2.45250
2004-06-03,2.48000
2004-06-04,2.47750
2004-06-07,2.48500
2004-06-08,2.47750
2004-06-09,2.47000
2004-06-10,2.49750
2004-06-11,2.52750
2004-06-14,2.58000
2004-06-15,2.57750
2004-06-16,2.52000
2004-06-17,2.56750
2004-06-18,2.56000
2004-06-21,2.56000
2004-06-22,2.55000
2004-06-23,2.55250
2004-06-24,2.53000
2004-06-25,2.51750
2004-06-28,2.50250
2004-06-29,2.53500
2004-06-30,2.53000
2004-07-01,2.50250
2004-07-02,2.48250
2004-07-05,2.45000
2004-07-06,2.44750
2004-07-07,2.45750
2004-07-08,2.45000
2004-07-09,2.44500
2004-07-12,2.44000
2004-07-13,2.46000
2004-07-14,2.46000
2004-07-15,2.46750
2004-07-16,2.47000
2004-07-19,2.43000
2004-07-20,2.43250
2004-07-21,2.48000
2004-07-22,2.49000
2004-07-23,2.49500
2004-07-26,2.49750
2004-07-27,2.52000
2004-07-28,2.53250
2004-07-29,2.53000
2004-07-30,2.50000
2004-08-02,2.47250
2004-08-03,2.48250
2004-08-04,2.46250
2004-08-05,2.46000
2004-08-06,2.43250
2004-08-09,2.40000
2004-08-10,2.39000
2004-08-11,2.40500
2004-08-12,2.40250
2004-08-13,2.38000
2004-08-16,2.36750
2004-08-17,2.38000
2004-08-18,2.37000
2004-08-19,2.38750
2004-08-20,2.37000
2004-08-23,2.38750
2004-08-24,2.41500
2004-08-25,2.41000
2004-08-26,2.41250
2004-08-27,2.39250
2004-08-31,2.39250
2004-09-01,2.38000
2004-09-02,2.38000
2004-09-03,2.45000
2004-09-06,2.50250
2004-09-07,2.49250
2004-09-08,2.52250
2004-09-09,2.49250
2004-09-10,2.48000
2004-09-13,2.48750
2004-09-14,2.48750
2004-09-15,2.48000
2004-09-16,2.50000
2004-09-17,2.47000
2004-09-20,2.48000
2004-09-21,2.48000
2004-09-22,2.48000
2004-09-23,2.47000
2004-09-24,2.47250
2004-09-27,2.47250
2004-09-28,2.47000
2004-09-29,2.47750
2004-09-30,2.48000
2004-10-01,2.47000
2004-10-04,2.47250
2004-10-05,2.47250
2004-10-06,2.47500
2004-10-07,2.48000
2004-10-08,2.45250
2004-10-11,2.42500
2004-10-12,2.42500
2004-10-13,2.41250
2004-10-14,2.39750
2004-10-15,2.40000
2004-10-18,2.38000
2004-10-19,2.39000
2004-10-20,2.38000
2004-10-21,2.36000
2004-10-22,2.38500
2004-10-25,2.37000
2004-10-26,2.37000
2004-10-27,2.37500
2004-10-28,2.40000
2004-10-29,2.41000
2004-11-01,2.40000
2004-11-02,2.41000
2004-11-03,2.43000
2004-11-04,2.41000
2004-11-05,2.41000
2004-11-08,2.47000
2004-11-09,2.45750
2004-11-10,2.44750
2004-11-11,2.43250
2004-11-12,2.40500
2004-11-15,2.38250
2004-11-16,2.40000
2004-11-17,2.41000
2004-11-18,2.39750
2004-11-19,2.41500
2004-11-22,2.42000
2004-11-23,2.41750
2004-11-24,2.39000
2004-11-25,2.37250
2004-11-26,2.37000
2004-11-29,2.36000
2004-11-30,2.38000
2004-12-01,2.36000
2004-12-02,2.35000
2004-12-03,2.40500
2004-12-06,2.35000
2004-12-07,2.33250
2004-12-08,2.34500
2004-12-09,2.34000
2004-12-10,2.35750
2004-12-13,2.35250
2004-12-14,2.35000
2004-12-15,2.35250
2004-12-16,2.35500
2004-12-17,2.38500
2004-12-20,2.39000
2004-12-21,2.39250
2004-12-22,2.42750
2004-12-23,2.42250
2004-12-24,2.42000
2004-12-29,2.44000
2004-12-30,2.44000
2004-12-31,2.44000
2005-01-04,2.43000
2005-01-05,2.44500
2005-01-06,2.44000
2005-01-07,2.40000
2005-01-10,2.41250
2005-01-11,2.39250
2005-01-12,2.41250
2005-01-13,2.40750
2005-01-14,2.38000
2005-01-17,2.37000
2005-01-18,2.38000
2005-01-19,2.36750
2005-01-20,2.37250
2005-01-21,2.38250
2005-01-24,2.37000
2005-01-25,2.36500
2005-01-26,2.36500
2005-01-27,2.37500
2005-01-28,2.38000
2005-01-31,2.36250
2005-02-01,2.36000
2005-02-02,2.36000
2005-02-03,2.38500
2005-02-04,2.38000
2005-02-07,2.37500
2005-02-08,2.39000
2005-02-09,2.36000
2005-02-10,2.35500
2005-02-11,2.34250
2005-02-14,2.36000
2005-02-15,2.36750
2005-02-16,2.37000
2005-02-17,2.38000
2005-02-18,2.37000
2005-02-21,2.39000
2005-02-22,2.38000
2005-02-23,2.38750
2005-02-24,2.38000
2005-02-25,2.39000
2005-02-28,2.38000
2005-03-01,2.39000
2005-03-02,2.38000
2005-03-03,2.38000
2005-03-04,2.37500
2005-03-07,2.36250
2005-03-08,2.34250
2005-03-09,2.33250
2005-03-10,2.36000
2005-03-11,2.35250
2005-03-14,2.36000
2005-03-15,2.35500
2005-03-16,2.36000
2005-03-17,2.37750
2005-03-18,2.38000
2005-03-21,2.40250
2005-03-22,2.40000
2005-03-23,2.42750
2005-03-24,2.43250
2005-03-29,2.44000
2005-03-30,2.43000
2005-03-31,2.41750
2005-04-01,2.39250
2005-04-04,2.38000
2005-04-05,2.37000
2005-04-06,2.36000
2005-04-07,2.36000
2005-04-08,2.34500
2005-04-11,2.33000
2005-04-12,2.33000
2005-04-13,2.33000
2005-04-14,2.32250
2005-04-15,2.30000
2005-04-18,2.28750
2005-04-19,2.30250
2005-04-20,2.29250
2005-04-21,2.28250
2005-04-22,2.28000
2005-04-25,2.27500
2005-04-26,2.27000
2005-04-27,2.27000
2005-04-28,2.26250
2005-04-29,2.25500
2005-05-03,2.25500
2005-05-04,2.23250
2005-05-05,2.23000
2005-05-06,2.23250
2005-05-09,2.25500
2005-05-10,2.24500
2005-05-11,2.24500
2005-05-12,2.23750
2005-05-13,2.23750
2005-05-16,2.24000
2005-05-17,2.24750
2005-05-18,2.24500
2005-05-19,2.24500
2005-05-20,2.25000
2005-05-23,2.26000
2005-05-24,2.25250
2005-05-25,2.23500
2005-05-26,2.22750
2005-05-27,2.22500
2005-05-31,2.22250
2005-06-01,2.20250
2005-06-02,2.17000
2005-06-03,2.17500
2005-06-06,2.17000
2005-06-07,2.16750
2005-06-08,2.14750
2005-06-09,2.15500
2005-06-10,2.15250
2005-06-13,2.14250
2005-06-14,2.15500
2005-06-15,2.15500
2005-06-16,2.18500
2005-06-17,2.18500
2005-06-20,2.18000
2005-06-21,2.16250
2005-06-22,2.12250
2005-06-23,2.10500
2005-06-24,2.11500
2005-06-27,2.11500
2005-06-28,2.11500
2005-06-29,2.12750
2005-06-30,2.13000
2005-07-01,2.12750
2005-07-04,2.16000
2005-07-05,2.16500
2005-07-06,2.17750
2005-07-07,2.17667
2005-07-08,2.16500
2005-07-11,2.18000
2005-07-12,2.18500
2005-07-13,2.20000
2005-07-14,2.21000
2005-07-15,2.22000
2005-07-18,2.22000
2005-07-19,2.22500
2005-07-20,2.22500
2005-07-21,2.22000
2005-07-22,2.22000
2005-07-25,2.22000
2005-07-26,2.22000
2005-07-27,2.22750
2005-07-28,2.22750
2005-07-29,2.23000
2005-08-01,2.25500
2005-08-02,2.26500
2005-08-03,2.27000
2005-08-04,2.27250
2005-08-05,2.28000
2005-08-08,2.28750
2005-08-09,2.29000
2005-08-10,2.30250
2005-08-11,2.30000
2005-08-12,2.28250
2005-08-15,2.27750
2005-08-16,2.26000
2005-08-17,2.24750
2005-08-18,2.24250
2005-08-19,2.23250
2005-08-22,2.23250
2005-08-23,2.23250
2005-08-24,2.24000
2005-08-25,2.24250
2005-08-26,2.24000
2005-08-30,2.26000
2005-08-31,2.25000
2005-09-01,2.24000
2005-09-02,2.21000
2005-09-05,2.20250
2005-09-06,2.21250
2005-09-07,2.22250
2005-09-08,2.22000
2005-09-09,2.22750
2005-09-12,2.23750
2005-09-13,2.26000
2005-09-14,2.25500
2005-09-15,2.26500
2005-09-16,2.27000
2005-09-19,2.26000
2005-09-20,2.26000
2005-09-21,2.26000
2005-09-22,2.23750
2005-09-23,2.24000
2005-09-26,2.29000
2005-09-27,2.30000
2005-09-28,2.31000
2005-09-29,2.31500
2005-09-30,2.35250
2005-10-03,2.36000
2005-10-04,2.37500
2005-10-05,2.37000
2005-10-06,2.36750
2005-10-07,2.41750
2005-10-10,2.41250
2005-10-11,2.42250
2005-10-12,2.42000
2005-10-13,2.41750
2005-10-14,2.42000
2005-10-17,2.43750
2005-10-18,2.45000
2005-10-19,2.44250
2005-10-20,2.45000
2005-10-21,2.46000
2005-10-24,2.46000
2005-10-25,2.46000
2005-10-26,2.51750
2005-10-27,2.55250
