DATE,VALUE
1999-01-04,3.19000
1999-01-05,3.18094
1999-01-06,3.16750
1999-01-07,3.15625
1999-01-08,3.13750
1999-01-11,3.12813
1999-01-12,3.12563
1999-01-13,3.10250
1999-01-14,3.08672
1999-01-15,3.04266
1999-01-18,3.02250
1999-01-19,2.98688
1999-01-20,2.98875
1999-01-21,2.99125
1999-01-22,2.99375
1999-01-25,2.98156
1999-01-26,2.98688
1999-01-27,2.98750
1999-01-28,2.98375
1999-01-29,2.98344
1999-02-01,2.98625
1999-02-02,3.00188
1999-02-03,3.00875
1999-02-04,3.02188
1999-02-05,3.02375
1999-02-08,3.03141
1999-02-09,3.04125
1999-02-10,3.03750
1999-02-11,3.03625
1999-02-12,3.03250
1999-02-15,3.03875
1999-02-16,3.03750
1999-02-17,3.03188
1999-02-18,3.02875
1999-02-19,3.03000
1999-02-22,3.02438
1999-02-23,3.02063
1999-02-24,3.01938
1999-02-25,3.03219
1999-02-26,3.06250
1999-03-01,3.07125
1999-03-02,3.13688
1999-03-03,3.13469
1999-03-04,3.13563
1999-03-05,3.12563
1999-03-08,3.09438
1999-03-09,3.08000
1999-03-10,3.07275
1999-03-11,3.06700
1999-03-12,3.03125
1999-03-15,3.02625
1999-03-16,3.02531
1999-03-17,3.02625
1999-03-18,3.01375
1999-03-19,3.01031
1999-03-22,2.99375
1999-03-23,3.01000
1999-03-24,3.00625
1999-03-25,2.99188
1999-03-26,2.98000
1999-03-29,2.98188
1999-03-30,2.97656
1999-03-31,2.96750
1999-04-01,2.93625
1999-04-02,2.93000
1999-04-05,2.93000
1999-04-06,2.90775
1999-04-07,2.90000
1999-04-08,2.89875
1999-04-09,2.71588
1999-04-12,2.71375
1999-04-13,2.71000
1999-04-14,2.70650
1999-04-15,2.70563
1999-04-16,2.70525
1999-04-19,2.70563
1999-04-20,2.73522
1999-04-21,2.68738
1999-04-22,2.67625
1999-04-23,2.67725
1999-04-26,2.67375
1999-04-27,2.67250
1999-04-28,2.67250
1999-04-29,2.67250
1999-04-30,2.67363
1999-05-03,2.67513
1999-05-04,2.67250
1999-05-05,2.67750
1999-05-06,2.67525
1999-05-07,2.68125
1999-05-10,2.68138
1999-05-11,2.68250
1999-05-12,2.68175
1999-05-13,2.67750
1999-05-14,2.66438
1999-05-17,2.67350
1999-05-18,2.67438
1999-05-19,2.68563
1999-05-20,2.68063
1999-05-21,2.67875
1999-05-24,2.67875
1999-05-25,2.67500
1999-05-26,2.67313
1999-05-27,2.67000
1999-05-28,2.67750
1999-05-31,2.68000
1999-06-01,2.72000
1999-06-02,2.79563
1999-06-03,2.76875
1999-06-04,2.78750
1999-06-07,2.79000
1999-06-08,2.77000
1999-06-09,2.77000
1999-06-10,2.78063
1999-06-11,2.81188
1999-06-14,2.81563
1999-06-15,2.82125
1999-06-16,2.82063
1999-06-17,2.82000
1999-06-18,2.81125
1999-06-21,2.81000
1999-06-22,2.83250
1999-06-23,2.84125
1999-06-24,2.85938
1999-06-25,2.90250
1999-06-28,2.90525
1999-06-29,2.90000
1999-06-30,2.91188
1999-07-01,2.89063
1999-07-02,2.93438
1999-07-05,2.93500
1999-07-06,2.94850
1999-07-07,2.95025
1999-07-08,2.96125
1999-07-09,2.96625
1999-07-12,2.96875
1999-07-13,2.96875
1999-07-14,2.95500
1999-07-15,2.94250
1999-07-16,3.03625
1999-07-19,3.06000
1999-07-20,3.06250
1999-07-21,3.04625
1999-07-22,3.02500
1999-07-23,3.05750
1999-07-26,3.06500
1999-07-27,3.06188
1999-07-28,3.06125
1999-07-29,3.07000
1999-07-30,3.09750
1999-08-02,3.15263
1999-08-03,3.19538
1999-08-04,3.18850
1999-08-05,3.19125
1999-08-06,3.20000
1999-08-09,3.25000
1999-08-10,3.26438
1999-08-11,3.24688
1999-08-12,3.24125
1999-08-13,3.24250
1999-08-16,3.23000
1999-08-17,3.23000
1999-08-18,3.17750
1999-08-19,3.16938
1999-08-20,3.16625
1999-08-23,3.15713
1999-08-24,3.16000
1999-08-25,3.16000
1999-08-26,3.15700
1999-08-27,3.20000
1999-08-30,3.22000
1999-08-31,3.24288
1999-09-01,3.25000
1999-09-02,3.25000
1999-09-03,3.25000
1999-09-06,3.21375
1999-09-07,3.22000
1999-09-08,3.24563
1999-09-09,3.25563
1999-09-10,3.27250
1999-09-13,3.27525
1999-09-14,3.28000
1999-09-15,3.29000
1999-09-16,3.28063
1999-09-17,3.27500
1999-09-20,3.26000
1999-09-21,3.27000
1999-09-22,3.27000
1999-09-23,3.27938
1999-09-24,3.25200
1999-09-27,3.24625
1999-09-28,3.26625
1999-09-29,3.29000
1999-09-30,3.29938
1999-10-01,3.38500
1999-10-04,3.49125
1999-10-05,3.51375
1999-10-06,3.55875
1999-10-07,3.57000
1999-10-08,3.52000
1999-10-11,3.54000
1999-10-12,3.57375
1999-10-13,3.63125
1999-10-14,3.67000
1999-10-15,3.71000
1999-10-18,3.69313
1999-10-19,3.69000
1999-10-20,3.72813
1999-10-21,3.74438
1999-10-22,3.72000
1999-10-25,3.71000
1999-10-26,3.75250
1999-10-27,3.75625
1999-10-28,3.73875
1999-10-29,3.71000
1999-11-01,3.72000
1999-11-02,3.73375
1999-11-03,3.72750
1999-11-04,3.71188
1999-11-05,3.68000
1999-11-08,3.62750
1999-11-09,3.56188
1999-11-10,3.57000
1999-11-11,3.58688
1999-11-12,3.57125
1999-11-15,3.56188
1999-11-16,3.56825
1999-11-17,3.57000
1999-11-18,3.60375
1999-11-19,3.61813
1999-11-22,3.65000
1999-11-23,3.67500
1999-11-24,3.67138
1999-11-25,3.67500
1999-11-26,3.72000
1999-11-29,3.72000
1999-11-30,3.72125
1999-12-01,3.70375
1999-12-02,3.70875
1999-12-03,3.71938
1999-12-06,3.71400
1999-12-07,3.71000
1999-12-08,3.70875
1999-12-09,3.71000
1999-12-10,3.71013
1999-12-13,3.71000
1999-12-14,3.72000
1999-12-15,3.73750
1999-12-16,3.75500
1999-12-17,3.82000
1999-12-20,3.83000
1999-12-21,3.84000
1999-12-22,3.83000
1999-12-23,3.82250
1999-12-24,3.61813
1999-12-27,3.82250
1999-12-28,3.82375
1999-12-29,3.81125
1999-12-30,3.81813
2000-01-03,3.82000
2000-01-04,3.87813
2000-01-05,3.88000
2000-01-06,3.88000
2000-01-07,3.87875
2000-01-10,3.85625
2000-01-11,3.85988
2000-01-12,3.87750
2000-01-13,3.87750
2000-01-14,3.86125
2000-01-17,3.84875
2000-01-18,3.85188
2000-01-19,3.86500
2000-01-20,3.86000
2000-01-21,3.85513
2000-01-24,3.86125
2000-01-25,3.86500
2000-01-26,3.88000
2000-01-27,3.95000
2000-01-28,4.00125
2000-01-31,4.01438
2000-02-01,4.02625
2000-02-02,4.01625
2000-02-03,4.01688
2000-02-04,4.00625
2000-02-07,4.01000
2000-02-08,4.02500
2000-02-09,4.02000
2000-02-10,4.02250
2000-02-11,4.02938
2000-02-14,4.03000
2000-02-15,4.02625
2000-02-16,4.03125
2000-02-17,4.04000
2000-02-18,4.10000
2000-02-21,4.14313
2000-02-22,4.14500
2000-02-23,4.13313
2000-02-24,4.11750
2000-02-25,4.05875
2000-02-28,4.10313
2000-02-29,4.10313
2000-03-01,4.11063
2000-03-02,4.13938
2000-03-03,4.13750
2000-03-06,4.15688
2000-03-07,4.16000
2000-03-08,4.19000
2000-03-09,4.21813
2000-03-10,4.20313
2000-03-13,4.25000
2000-03-14,4.25000
2000-03-15,4.26125
2000-03-16,4.27750
2000-03-17,4.23688
2000-03-20,4.22375
2000-03-21,4.20750
2000-03-22,4.21000
2000-03-23,4.20750
2000-03-24,4.21438
2000-03-27,4.25063
2000-03-28,4.25000
2000-03-29,4.25250
2000-03-30,4.28000
2000-03-31,4.27000
2000-04-03,4.26875
2000-04-04,4.26813
2000-04-05,4.24938
2000-04-06,4.22813
2000-04-07,4.26125
2000-04-10,4.27000
2000-04-11,4.28938
2000-04-12,4.30375
2000-04-13,4.31000
2000-04-14,4.30813
2000-04-17,4.30000
2000-04-18,4.32000
2000-04-19,4.33950
2000-04-20,4.35313
2000-04-25,4.41213
2000-04-26,4.46000
2000-04-27,4.44000
2000-04-28,4.52125
2000-05-02,4.53000
2000-05-03,4.62438
2000-05-04,4.71625
2000-05-05,4.73563
2000-05-08,4.71813
2000-05-09,4.71125
2000-05-10,4.68750
2000-05-11,4.68188
2000-05-12,4.79125
2000-05-15,4.79000
2000-05-16,4.79000
2000-05-17,4.88750
2000-05-18,4.93688
2000-05-19,4.93000
2000-05-22,4.96000
2000-05-23,4.92625
2000-05-24,4.90063
2000-05-25,4.89063
2000-05-26,4.86000
2000-05-29,4.85375
2000-05-30,4.85438
2000-05-31,4.94000
2000-06-01,4.94000
2000-06-02,4.92000
2000-06-05,4.83875
2000-06-06,4.83688
2000-06-07,4.80125
2000-06-08,4.80375
2000-06-09,5.00000
2000-06-12,4.97438
2000-06-13,4.96125
2000-06-14,4.93000
2000-06-15,4.90000
2000-06-16,4.87313
2000-06-19,4.86000
2000-06-20,4.88850
2000-06-21,4.93688
2000-06-22,4.94625
2000-06-23,4.96000
2000-06-26,4.98500
2000-06-27,4.98625
2000-06-28,4.98125
2000-06-29,5.00000
2000-06-30,4.99125
2000-07-03,4.99375
2000-07-04,4.99063
2000-07-05,4.99500
2000-07-06,4.96125
2000-07-07,4.98938
2000-07-10,4.98250
2000-07-11,4.98625
2000-07-12,4.99438
2000-07-13,5.05000
2000-07-14,5.06000
2000-07-17,5.09063
2000-07-18,5.09000
2000-07-19,5.15000
2000-07-20,5.15000
2000-07-21,5.10000
2000-07-24,5.10938
2000-07-25,5.10750
2000-07-26,5.10750
2000-07-27,5.11625
2000-07-28,5.13438
2000-07-31,5.13875
2000-08-01,5.12625
2000-08-02,5.12938
2000-08-03,5.13063
2000-08-04,5.12875
