DATE,VALUE
1999-01-04,3.25000
1999-01-05,3.24500
1999-01-06,3.23625
1999-01-07,3.23625
1999-01-08,3.23500
1999-01-11,3.23500
1999-01-12,3.22250
1999-01-13,3.21234
1999-01-14,3.20250
1999-01-15,3.15875
1999-01-18,3.11125
1999-01-19,3.06469
1999-01-20,3.06719
1999-01-21,3.07813
1999-01-22,3.09547
1999-01-25,3.12813
1999-01-26,3.16953
1999-01-27,3.14750
1999-01-28,3.13938
1999-01-29,3.13500
1999-02-01,3.14438
1999-02-02,3.15641
1999-02-03,3.17000
1999-02-04,3.17469
1999-02-05,3.17125
1999-02-08,3.16750
1999-02-09,3.16438
1999-02-10,3.15734
1999-02-11,3.14938
1999-02-12,3.13750
1999-02-15,3.12125
1999-02-16,3.10000
1999-02-17,3.08750
1999-02-18,3.08250
1999-02-19,3.08125
1999-02-22,3.08813
1999-02-23,3.11063
1999-02-24,3.11688
1999-02-25,3.12188
1999-02-26,3.12438
1999-03-01,3.12875
1999-03-02,3.13313
1999-03-03,3.12281
1999-03-04,3.11500
1999-03-05,3.10125
1999-03-08,3.09788
1999-03-09,3.08863
1999-03-10,3.07375
1999-03-11,3.06000
1999-03-12,3.03875
1999-03-15,3.02375
1999-03-16,3.03500
1999-03-17,3.04125
1999-03-18,3.03313
1999-03-19,3.02063
1999-03-22,3.09547
1999-03-23,3.02375
1999-03-24,3.02313
1999-03-25,3.01575
1999-03-26,3.01225
1999-03-29,3.00875
1999-03-30,3.01063
1999-03-31,3.00813
1999-04-01,3.00000
1999-04-02,2.99125
1999-04-05,2.98813
1999-04-06,2.99300
1999-04-07,3.02213
1999-04-08,3.02588
1999-04-09,2.71750
1999-04-12,2.69000
1999-04-13,2.64875
1999-04-14,2.63263
1999-04-15,2.62250
1999-04-16,2.60125
1999-04-19,2.58875
1999-04-20,2.59695
1999-04-21,2.54700
1999-04-22,2.54700
1999-04-23,2.55463
1999-04-26,2.56000
1999-04-27,2.56000
1999-04-28,2.55850
1999-04-29,2.55750
1999-04-30,2.55625
1999-05-03,2.55500
1999-05-04,2.55688
1999-05-05,2.55338
1999-05-06,2.55025
1999-05-07,2.54900
1999-05-10,2.54863
1999-05-11,2.54738
1999-05-12,2.54738
1999-05-13,2.54750
1999-05-14,2.54938
1999-05-17,2.55000
1999-05-18,2.55438
1999-05-19,2.63125
1999-05-20,2.59088
1999-05-21,2.56750
1999-05-24,2.56500
1999-05-25,2.56438
1999-05-26,2.56000
1999-05-27,2.55813
1999-05-28,2.55875
1999-05-31,2.55938
1999-06-01,2.55875
1999-06-02,2.56063
1999-06-03,2.55875
1999-06-04,2.56025
1999-06-07,2.56438
1999-06-08,2.56563
1999-06-09,2.56500
1999-06-10,2.56563
1999-06-11,2.57438
1999-06-14,2.57563
1999-06-15,2.58406
1999-06-16,2.59063
1999-06-17,2.59875
1999-06-18,2.61125
1999-06-21,2.65125
1999-06-22,2.65000
1999-06-23,2.60500
1999-06-24,2.60625
1999-06-25,2.61438
1999-06-28,2.62875
1999-06-29,2.63563
1999-06-30,2.62750
1999-07-01,2.62000
1999-07-02,2.62000
1999-07-05,2.62000
1999-07-06,2.61325
1999-07-07,2.59750
1999-07-08,2.59500
1999-07-09,2.59000
1999-07-12,2.59000
1999-07-13,2.58875
1999-07-14,2.59000
1999-07-15,2.63063
1999-07-16,2.65063
1999-07-19,2.66063
1999-07-20,2.66000
1999-07-21,2.64875
1999-07-22,2.58500
1999-07-23,2.59250
1999-07-26,2.59563
1999-07-27,2.60000
1999-07-28,2.59875
1999-07-29,2.59875
1999-07-30,2.59938
1999-08-02,2.60188
1999-08-03,2.60163
1999-08-04,2.58500
1999-08-05,2.58000
1999-08-06,2.57688
1999-08-09,2.57713
1999-08-10,2.57950
1999-08-11,2.57813
1999-08-12,2.58000
1999-08-13,2.59375
1999-08-16,2.59688
1999-08-17,2.58688
1999-08-18,2.41125
1999-08-19,2.52750
1999-08-20,2.57000
1999-08-23,2.58000
1999-08-24,2.58000
1999-08-25,2.58000
1999-08-26,2.58113
1999-08-27,2.58125
1999-08-30,2.58363
1999-08-31,2.58038
1999-09-01,2.58000
1999-09-02,2.58000
1999-09-03,2.58000
1999-09-06,2.57500
1999-09-07,2.57000
1999-09-08,2.55900
1999-09-09,2.55000
1999-09-10,2.55000
1999-09-13,2.54813
1999-09-14,2.54625
1999-09-15,2.54500
1999-09-16,2.54025
1999-09-17,2.53213
1999-09-20,2.43688
1999-09-21,2.54563
1999-09-22,2.55000
1999-09-23,2.55238
1999-09-24,2.55063
1999-09-27,2.55063
1999-09-28,2.55188
1999-09-29,2.55813
1999-09-30,2.56250
1999-10-01,2.58938
1999-10-04,2.65625
