DATE,VALUE
1999-01-04,3.21250
1999-01-05,3.20250
1999-01-06,3.18969
1999-01-07,3.18875
1999-01-08,3.17375
1999-01-11,3.16500
1999-01-12,3.16250
1999-01-13,3.14828
1999-01-14,3.13250
1999-01-15,3.09859
1999-01-18,3.06344
1999-01-19,3.02766
1999-01-20,3.02766
1999-01-21,3.02875
1999-01-22,3.03125
1999-01-25,3.03578
1999-01-26,3.04016
1999-01-27,3.04047
1999-01-28,3.03516
1999-01-29,3.03328
1999-02-01,3.03328
1999-02-02,3.04688
1999-02-03,3.05250
1999-02-04,3.06031
1999-02-05,3.06219
1999-02-08,3.06969
1999-02-09,3.06875
1999-02-10,3.06625
1999-02-11,3.07000
1999-02-12,3.06250
1999-02-15,3.06125
1999-02-16,3.05969
1999-02-17,3.05188
1999-02-18,3.04750
1999-02-19,3.04938
1999-02-22,3.04475
1999-02-23,3.04275
1999-02-24,3.04350
1999-02-25,3.05125
1999-02-26,3.06500
1999-03-01,3.06875
1999-03-02,3.10031
1999-03-03,3.10000
1999-03-04,3.10125
1999-03-05,3.09500
1999-03-08,3.07500
1999-03-09,3.06875
1999-03-10,3.06375
1999-03-11,3.05725
1999-03-12,3.03188
1999-03-15,3.02519
1999-03-16,3.02588
1999-03-17,3.02438
1999-03-18,3.01563
1999-03-19,3.01000
1999-03-22,3.03125
1999-03-23,3.00500
1999-03-24,3.00250
1999-03-25,2.99000
1999-03-26,2.97613
1999-03-29,2.97000
1999-03-30,2.96550
1999-03-31,2.95313
1999-04-01,2.91696
1999-04-02,2.91250
1999-04-05,2.91250
1999-04-06,2.89500
1999-04-07,2.88625
1999-04-08,2.88075
1999-04-09,2.66750
1999-04-12,2.66875
1999-04-13,2.65063
1999-04-14,2.64525
1999-04-15,2.64000
1999-04-16,2.63600
1999-04-19,2.63025
1999-04-20,2.65424
1999-04-21,2.61363
1999-04-22,2.60725
1999-04-23,2.60650
1999-04-26,2.60375
1999-04-27,2.60363
1999-04-28,2.60000
1999-04-29,2.59850
1999-04-30,2.60000
1999-05-03,2.59850
1999-05-04,2.59625
1999-05-05,2.59650
1999-05-06,2.59275
1999-05-07,2.59475
1999-05-10,2.59400
1999-05-11,2.59488
1999-05-12,2.59025
1999-05-13,2.59000
1999-05-14,2.58438
1999-05-17,2.58850
1999-05-18,2.58938
1999-05-19,2.59500
1999-05-20,2.59125
1999-05-21,2.59000
1999-05-24,2.58963
1999-05-25,2.59000
1999-05-26,2.58813
1999-05-27,2.58713
1999-05-28,2.58950
1999-05-31,2.58875
1999-06-01,2.60250
1999-06-02,2.63488
1999-06-03,2.62725
1999-06-04,2.62963
1999-06-07,2.63000
1999-06-08,2.62875
1999-06-09,2.63063
1999-06-10,2.63688
1999-06-11,2.64625
1999-06-14,2.65063
1999-06-15,2.65344
1999-06-16,2.65313
1999-06-17,2.65563
1999-06-18,2.65500
1999-06-21,2.66000
1999-06-22,2.66750
1999-06-23,2.66938
1999-06-24,2.67000
1999-06-25,2.69000
1999-06-28,2.69813
1999-06-29,2.70000
1999-06-30,2.70563
1999-07-01,2.68938
1999-07-02,2.70875
1999-07-05,2.71000
1999-07-06,2.71113
1999-07-07,2.71000
1999-07-08,2.71313
1999-07-09,2.71188
1999-07-12,2.71188
1999-07-13,2.71063
1999-07-14,2.71000
1999-07-15,2.70750
1999-07-16,2.75250
1999-07-19,2.75813
1999-07-20,2.76625
1999-07-21,2.75563
1999-07-22,2.73875
1999-07-23,2.75063
1999-07-26,2.75000
1999-07-27,2.75000
1999-07-28,2.75000
1999-07-29,2.94813
1999-07-30,2.96125
1999-08-02,2.99513
1999-08-03,3.01750
1999-08-04,3.01413
1999-08-05,3.01400
1999-08-06,3.02163
1999-08-09,3.03813
1999-08-10,3.05125
1999-08-11,3.05375
1999-08-12,3.05000
1999-08-13,3.05250
1999-08-16,3.05125
1999-08-17,3.05000
1999-08-18,3.03375
1999-08-19,3.03000
1999-08-20,3.02875
1999-08-23,3.02625
1999-08-24,3.03000
1999-08-25,3.03025
1999-08-26,3.02625
1999-08-27,3.04000
1999-08-30,3.05688
1999-08-31,3.06375
1999-09-01,3.07500
1999-09-02,3.08125
1999-09-03,3.08000
1999-09-06,3.07000
1999-09-07,3.07125
1999-09-08,3.08000
1999-09-09,3.08938
1999-09-10,3.09000
1999-09-13,3.09688
1999-09-14,3.09863
1999-09-15,3.10063
1999-09-16,3.10025
1999-09-17,3.09563
1999-09-20,3.09000
1999-09-21,3.09563
1999-09-22,3.09900
1999-09-23,3.10000
1999-09-24,3.08375
1999-09-27,3.08000
1999-09-28,3.09000
1999-09-29,3.10250
1999-09-30,3.10813
1999-10-01,3.17063
1999-10-04,3.27125
1999-10-05,3.31000
1999-10-06,3.35125
1999-10-07,3.36875
1999-10-08,3.32000
1999-10-11,3.33500
1999-10-12,3.36000
1999-10-13,3.42000
1999-10-14,3.44000
1999-10-15,3.48875
1999-10-18,3.48438
1999-10-19,3.48688
1999-10-20,3.50813
1999-10-21,3.52125
1999-10-22,3.51000
1999-10-25,3.51000
1999-10-26,3.53000
1999-10-27,3.54000
1999-10-28,3.53875
1999-10-29,3.52000
1999-11-01,3.53000
1999-11-02,3.55688
1999-11-03,3.55875
1999-11-04,3.53813
1999-11-05,3.52438
1999-11-08,3.50438
1999-11-09,3.46463
1999-11-10,3.46038
1999-11-11,3.46000
1999-11-12,3.45188
1999-11-15,3.45000
1999-11-16,3.45000
1999-11-17,3.44875
1999-11-18,3.45000
1999-11-19,3.45000
1999-11-22,3.45788
1999-11-23,3.45900
1999-11-24,3.45275
1999-11-25,3.44975
1999-11-26,3.45450
1999-11-29,3.45688
1999-11-30,3.46000
1999-12-01,3.46000
1999-12-02,3.46000
1999-12-03,3.46463
1999-12-06,3.46813
1999-12-07,3.47000
1999-12-08,3.47000
1999-12-09,3.47063
1999-12-10,3.47375
1999-12-13,3.47063
1999-12-14,3.47438
1999-12-15,3.47875
1999-12-16,3.48000
1999-12-17,3.50000
1999-12-20,3.50000
1999-12-21,3.51000
1999-12-22,3.51000
1999-12-23,3.50375
1999-12-24,3.45000
1999-12-27,3.50500
1999-12-28,3.50625
1999-12-29,3.46500
1999-12-30,3.46688
2000-01-03,3.46375
2000-01-04,3.50000
2000-01-05,3.49888
2000-01-06,3.49563
2000-01-07,3.48875
2000-01-10,3.47688
2000-01-11,3.47538
2000-01-12,3.48000
2000-01-13,3.47938
2000-01-14,3.47000
2000-01-17,3.46063
2000-01-18,3.45813
2000-01-19,3.45688
2000-01-20,3.46000
2000-01-21,3.45850
2000-01-24,3.46000
2000-01-25,3.46688
2000-01-26,3.48000
2000-01-27,3.58000
2000-01-28,3.61500
2000-01-31,3.61688
2000-02-01,3.62500
2000-02-02,3.62000
2000-02-03,3.62313
2000-02-04,3.62500
2000-02-07,3.62000
2000-02-08,3.62625
2000-02-09,3.62000
2000-02-10,3.62000
2000-02-11,3.62000
2000-02-14,3.62188
2000-02-15,3.62063
2000-02-16,3.62000
2000-02-17,3.63000
2000-02-18,3.68250
2000-02-21,3.75000
2000-02-22,3.75750
2000-02-23,3.76000
2000-02-24,3.75375
2000-02-25,3.71813
2000-02-28,3.74000
2000-02-29,3.75000
2000-03-01,3.75000
2000-03-02,3.76938
2000-03-03,3.76063
2000-03-06,3.77813
2000-03-07,3.78188
2000-03-08,3.81000
2000-03-09,3.84625
2000-03-10,3.86000
2000-03-13,3.90063
2000-03-14,3.91000
2000-03-15,3.91813
2000-03-16,3.92500
2000-03-17,3.90000
2000-03-20,3.89375
2000-03-21,3.88750
2000-03-22,3.88875
2000-03-23,3.88875
2000-03-24,3.89000
2000-03-27,3.92875
2000-03-28,3.93188
2000-03-29,3.94000
2000-03-30,3.95625
2000-03-31,3.94875
2000-04-03,3.94063
2000-04-04,3.94000
2000-04-05,3.93938
2000-04-06,3.93875
2000-04-07,3.96500
2000-04-10,3.97750
2000-04-11,3.99500
2000-04-12,4.01513
2000-04-13,4.03000
2000-04-14,4.02000
2000-04-17,4.02000
2000-04-18,4.03250
2000-04-19,4.05250
2000-04-20,4.06850
2000-04-25,4.10938
2000-04-26,4.15250
2000-04-27,4.14000
2000-04-28,4.20875
2000-05-02,4.21938
2000-05-03,4.30000
2000-05-04,4.40250
2000-05-05,4.43500
2000-05-08,4.42688
2000-05-09,4.42000
2000-05-10,4.40000
2000-05-11,4.38563
2000-05-12,4.45000
2000-05-15,4.45000
2000-05-16,4.45000
2000-05-17,4.55125
2000-05-18,4.58813
2000-05-19,4.58063
2000-05-22,4.61313
2000-05-23,4.59938
2000-05-24,4.56750
2000-05-25,4.55375
2000-05-26,4.52188
2000-05-29,4.52375
2000-05-30,4.53000
2000-05-31,4.59000
2000-06-01,4.60688
2000-06-02,4.59875
2000-06-05,4.54125
2000-06-06,4.54000
2000-06-07,4.52813
2000-06-08,4.53500
2000-06-09,4.68000
2000-06-12,4.67313
2000-06-13,4.67000
2000-06-14,4.64375
2000-06-15,4.60875
2000-06-16,4.58313
2000-06-19,4.57563
2000-06-20,4.59025
2000-06-21,4.63000
2000-06-22,4.63000
2000-06-23,4.64063
2000-06-26,4.65438
2000-06-27,4.65500
2000-06-28,4.65563
2000-06-29,4.68438
2000-06-30,4.68000
2000-07-03,4.68000
2000-07-04,4.68000
2000-07-05,4.68000
2000-07-06,4.65500
2000-07-07,4.66000
2000-07-10,4.66000
2000-07-11,4.66125
2000-07-12,4.66750
2000-07-13,4.69375
2000-07-14,4.71000
2000-07-17,4.72000
2000-07-18,4.72000
2000-07-19,4.78000
2000-07-20,4.79000
2000-07-21,4.77625
2000-07-24,4.78313
2000-07-25,4.78125
2000-07-26,4.78250
2000-07-27,4.79000
2000-07-28,4.88625
2000-07-31,4.88438
2000-08-01,4.87500
2000-08-02,4.88000
2000-08-03,4.88000
2000-08-04,4.87875
2000-08-07,4.86625
2000-08-08,4.85688
2000-08-09,4.87000
2000-08-10,4.87000
2000-08-11,4.91225
2000-08-14,4.96250
2000-08-15,4.96688
2000-08-16,5.00063
2000-08-17,5.01500
2000-08-18,5.00875
2000-08-21,5.02438
2000-08-22,5.04525
2000-08-23,5.03750
2000-08-24,5.02625
2000-08-25,5.05813
2000-08-28,5.09000
2000-08-29,5.08000
2000-08-30,5.06313
2000-08-31,5.06000
2000-09-01,5.00875
2000-09-04,4.98250
2000-09-05,4.99000
2000-09-06,5.00500
2000-09-07,5.05563
2000-09-08,5.04375
2000-09-11,5.05000
2000-09-12,5.04750
2000-09-13,5.01500
2000-09-14,5.00813
2000-09-15,4.98750
2000-09-18,4.98188
2000-09-19,4.96875
2000-09-20,4.97063
2000-09-21,4.96875
2000-09-22,4.95250
2000-09-25,4.96500
2000-09-26,5.01563
2000-09-27,5.01625
2000-09-28,5.03750
2000-09-29,5.04000
2000-10-02,5.02750
2000-10-03,5.02000
2000-10-04,5.02000
2000-10-05,5.02688
2000-10-06,5.06875
2000-10-09,5.06000
2000-10-10,5.06000
2000-10-11,5.04188
2000-10-12,5.03875
2000-10-13,5.02375
2000-10-16,5.05000
2000-10-17,5.05625
2000-10-18,5.05188
2000-10-19,5.07438
2000-10-20,5.08938
2000-10-23,5.10438
2000-10-24,5.13625
2000-10-25,5.14000
2000-10-26,5.17000
2000-10-27,5.16875
2000-10-30,5.17250
2000-10-31,5.17750
2000-11-01,5.17688
2000-11-02,5.15875
2000-11-03,5.15750
2000-11-06,5.15438
2000-11-07,5.15000
2000-11-08,5.15438
2000-11-09,5.15313
2000-11-10,5.14000
2000-11-13,5.12875
2000-11-14,5.11188
2000-11-15,5.10563
2000-11-16,5.09563
2000-11-17,5.08188
2000-11-20,5.07938
2000-11-21,5.08813
2000-11-22,5.09000
2000-11-23,5.08875
2000-11-24,5.09000
2000-11-27,5.09975
2000-11-28,5.09938
2000-11-29,5.09000
2000-11-30,5.05813
2000-12-01,5.02313
2000-12-04,5.01500
2000-12-05,5.00375
2000-12-06,4.95688
2000-12-07,4.93125
2000-12-08,4.93613
2000-12-11,4.95438
2000-12-12,4.96000
2000-12-13,4.95438
2000-12-14,4.93438
2000-12-15,4.92875
2000-12-18,4.91188
2000-12-19,4.90000
2000-12-20,4.87813
2000-12-21,4.86250
2000-12-22,4.85813
2000-12-27,4.85875
2000-12-28,4.84438
2000-12-29,4.84250
2001-01-02,4.80313
2001-01-03,4.75000
2001-01-04,4.66500
2001-01-05,4.62375
2001-01-08,4.60875
2001-01-09,4.64500
2001-01-10,4.71000
2001-01-11,4.73063
2001-01-12,4.73563
2001-01-15,4.75875
2001-01-16,4.72938
2001-01-17,4.73188
2001-01-18,4.72000
2001-01-19,4.68813
2001-01-22,4.68313
2001-01-23,4.68500
2001-01-24,4.70125
2001-01-25,4.71875
2001-01-26,4.71750
2001-01-29,4.72563
2001-01-30,4.71500
2001-01-31,4.66625
2001-02-01,4.64750
2001-02-02,4.66750
2001-02-05,4.66438
2001-02-06,4.66438
2001-02-07,4.67000
2001-02-08,4.67000
2001-02-09,4.68000
2001-02-12,4.67000
2001-02-13,4.67000
2001-02-14,4.67875
2001-02-15,4.69000
2001-02-16,4.69988
2001-02-19,4.70000
2001-02-20,4.70938
2001-02-21,4.72625
2001-02-22,4.74938
2001-02-23,4.75500
2001-02-26,4.74000
2001-02-27,4.72563
2001-02-28,4.68000
2001-03-01,4.66750
2001-03-02,4.68875
2001-03-05,4.68750
2001-03-06,4.70000
2001-03-07,4.69250
2001-03-08,4.69375
2001-03-09,4.69563
2001-03-12,4.70000
2001-03-13,4.69500
2001-03-14,4.70313
2001-03-15,4.67000
2001-03-16,4.66500
2001-03-19,4.66563
2001-03-20,4.66438
2001-03-21,4.62875
2001-03-22,4.54250
2001-03-23,4.48188
2001-03-26,4.47563
2001-03-27,4.45625
2001-03-28,4.47000
2001-03-29,4.45563
2001-03-30,4.46875
2001-04-02,4.46688
2001-04-03,4.48625
2001-04-04,4.46500
2001-04-05,4.48000
2001-04-06,4.48313
2001-04-09,4.45625
2001-04-10,4.45000
2001-04-11,4.47750
2001-04-12,4.64313
2001-04-17,4.67313
2001-04-18,4.70063
2001-04-19,4.60000
2001-04-20,4.67250
2001-04-23,4.67625
2001-04-24,4.73000
2001-04-25,4.73063
2001-04-26,4.72250
2001-04-27,4.70000
2001-04-30,4.76375
2001-05-01,4.79000
2001-05-02,4.78250
2001-05-03,4.78438
2001-05-04,4.76313
2001-05-07,4.74750
2001-05-08,4.73250
2001-05-09,4.72500
2001-05-10,4.68500
2001-05-11,4.50000
2001-05-14,4.51938
2001-05-15,4.51313
2001-05-16,4.49938
2001-05-17,4.50375
2001-05-18,4.50000
2001-05-21,4.50563
2001-05-22,4.49563
2001-05-23,4.51375
2001-05-24,4.50500
2001-05-25,4.50500
2001-05-28,4.50600
2001-05-29,4.50000
2001-05-30,4.48500
2001-05-31,4.46750
2001-06-01,4.44438
2001-06-04,4.41625
2001-06-05,4.40000
2001-06-06,4.36125
2001-06-07,4.35625
2001-06-08,4.38500
2001-06-11,4.37738
2001-06-12,4.38975
2001-06-13,4.42113
2001-06-14,4.42150
2001-06-15,4.40288
2001-06-18,4.39325
2001-06-19,4.38725
2001-06-20,4.37500
2001-06-21,4.34725
2001-06-22,4.34825
2001-06-25,4.33875
2001-06-26,4.33050
2001-06-27,4.35138
2001-06-28,4.33288
2001-06-29,4.38038
2001-07-02,4.36775
2001-07-03,4.35000
2001-07-04,4.40788
2001-07-05,4.39375
2001-07-06,4.43013
2001-07-09,4.42800
2001-07-10,4.44638
2001-07-11,4.42288
2001-07-12,4.43000
2001-07-13,4.42138
2001-07-16,4.42150
2001-07-17,4.41788
2001-07-18,4.41563
2001-07-19,4.39000
2001-07-20,4.40675
2001-07-23,4.40275
2001-07-24,4.40000
2001-07-25,4.40000
2001-07-26,4.40413
2001-07-27,4.39650
2001-07-30,4.38525
2001-07-31,4.36663
2001-08-01,4.35363
2001-08-02,4.33688
2001-08-03,4.36650
2001-08-06,4.34513
2001-08-07,4.33625
2001-08-08,4.34625
2001-08-09,4.31813
2001-08-10,4.28550
2001-08-13,4.25625
2001-08-14,4.26263
2001-08-15,4.25638
2001-08-16,4.24550
2001-08-17,4.24375
2001-08-20,4.22663
2001-08-21,4.21625
2001-08-22,4.21325
2001-08-23,4.21425
2001-08-24,4.22713
2001-08-27,4.22750
2001-08-28,4.21625
2001-08-29,4.20000
2001-08-30,4.19738
2001-08-31,4.16113
2001-09-03,4.17063
2001-09-04,4.20000
2001-09-05,4.22013
2001-09-06,4.22000
2001-09-07,4.18563
2001-09-10,4.15500
2001-09-11,4.16400
2001-09-12,4.09650
2001-09-13,4.07138
2001-09-14,4.04100
2001-09-17,4.02250
2001-09-18,3.74000
2001-09-19,3.71738
2001-09-20,3.64138
2001-09-21,3.62500
2001-09-24,3.60288
2001-09-25,3.59050
2001-09-26,3.58525
2001-09-27,3.58000
2001-09-28,3.57925
2001-10-01,3.57925
2001-10-02,3.57000
2001-10-03,3.52388
2001-10-04,3.50338
2001-10-05,3.45750
2001-10-08,3.46013
2001-10-09,3.50750
2001-10-10,3.52288
2001-10-11,3.52163
2001-10-12,3.55375
2001-10-15,3.53050
2001-10-16,3.51688
2001-10-17,3.52675
2001-10-18,3.51625
2001-10-19,3.48250
2001-10-22,3.45913
2001-10-23,3.46563
2001-10-24,3.47500
2001-10-25,3.46250
2001-10-26,3.47500
2001-10-29,3.45450
2001-10-30,3.42013
2001-10-31,3.39300
2001-11-01,3.38438
2001-11-02,3.38500
2001-11-05,3.36925
2001-11-06,3.33713
2001-11-07,3.25688
2001-11-08,3.23375
2001-11-09,3.22000
2001-11-12,3.23400
2001-11-13,3.23650
2001-11-14,3.24150
2001-11-15,3.29438
2001-11-16,3.32775
2001-11-19,3.32063
2001-11-20,3.28750
2001-11-21,3.31000
2001-11-22,3.32875
2001-11-23,3.31875
2001-11-26,3.30463
2001-11-27,3.31525
2001-11-28,3.30738
2001-11-29,3.29563
2001-11-30,3.26363
2001-12-03,3.24875
2001-12-04,3.24875
2001-12-05,3.25100
2001-12-06,3.30125
2001-12-07,3.31613
2001-12-10,3.29725
2001-12-11,3.27575
2001-12-12,3.27650
2001-12-13,3.26000
2001-12-14,3.27075
2001-12-17,3.28750
2001-12-18,3.29625
2001-12-19,3.28388
2001-12-20,3.28200
2001-12-21,3.27938
2001-12-24,3.27713
2001-12-27,3.27513
2001-12-28,3.26400
2001-12-31,3.26625
2002-01-02,3.24000
2002-01-03,3.24750
2002-01-04,3.27238
2002-01-07,3.29438
2002-01-08,3.29313
2002-01-09,3.30825
2002-01-10,3.31913
2002-01-11,3.34938
2002-01-14,3.32000
2002-01-15,3.32688
2002-01-16,3.33738
2002-01-17,3.34963
2002-01-18,3.34675
2002-01-21,3.35025
2002-01-22,3.36150
2002-01-23,3.38000
2002-01-24,3.38750
2002-01-25,3.40350
2002-01-28,3.40363
2002-01-29,3.39313
2002-01-30,3.37438
2002-01-31,3.39263
2002-02-01,3.39688
2002-02-04,3.38125
2002-02-05,3.36688
2002-02-06,3.36125
2002-02-07,3.35375
2002-02-08,3.37600
2002-02-11,3.38500
2002-02-12,3.38000
2002-02-13,3.39750
2002-02-14,3.39375
2002-02-15,3.37813
2002-02-18,3.37538
2002-02-19,3.37675
2002-02-20,3.39000
2002-02-21,3.39425
2002-02-22,3.38250
2002-02-25,3.38300
2002-02-26,3.40038
2002-02-27,3.40063
2002-02-28,3.39638
2002-03-01,3.39663
2002-03-04,3.41038
2002-03-05,3.41113
2002-03-06,3.41400
2002-03-07,3.41638
2002-03-08,3.44563
2002-03-11,3.44000
2002-03-12,3.43950
2002-03-13,3.44450
2002-03-14,3.44175
2002-03-15,3.46013
2002-03-18,3.45638
2002-03-19,3.45400
2002-03-20,3.45638
2002-03-21,3.48388
2002-03-22,3.49363
2002-03-25,3.53000
2002-03-26,3.55100
2002-03-27,3.54163
2002-03-28,3.54000
2002-04-02,3.54863
2002-04-03,3.53300
2002-04-04,3.52175
2002-04-05,3.52000
2002-04-08,3.50975
2002-04-09,3.51238
2002-04-10,3.49013
2002-04-11,3.50538
2002-04-12,3.49175
2002-04-15,3.47438
2002-04-16,3.47388
2002-04-17,3.49000
2002-04-18,3.48000
2002-04-19,3.47288
2002-04-22,3.47000
2002-04-23,3.46200
2002-04-24,3.46713
2002-04-25,3.44150
2002-04-26,3.45000
2002-04-29,3.45000
2002-04-30,3.45000
2002-05-01,3.45200
2002-05-02,3.45225
2002-05-03,3.51000
2002-05-06,3.49300
2002-05-07,3.48300
2002-05-08,3.49500
2002-05-09,3.52413
2002-05-10,3.52438
2002-05-13,3.54000
2002-05-14,3.60463
2002-05-15,3.62013
2002-05-16,3.61863
2002-05-17,3.65938
2002-05-20,3.65025
2002-05-21,3.64863
2002-05-22,3.56750
2002-05-23,3.59488
2002-05-24,3.58363
2002-05-27,3.59125
2002-05-28,3.61000
2002-05-29,3.59375
2002-05-30,3.58188
2002-05-31,3.57738
2002-06-03,3.58588
2002-06-04,3.58000
2002-06-05,3.57288
2002-06-06,3.57113
2002-06-07,3.56275
2002-06-10,3.57650
2002-06-11,3.56325
2002-06-12,3.55375
2002-06-13,3.57125
2002-06-14,3.55000
2002-06-17,3.54825
2002-06-18,3.54600
2002-06-19,3.53975
2002-06-20,3.54238
2002-06-21,3.53313
2002-06-24,3.52025
2002-06-25,3.50338
2002-06-26,3.47913
2002-06-27,3.49125
2002-06-28,3.48950
2002-07-01,3.47450
2002-07-02,3.47875
2002-07-03,3.47075
2002-07-04,3.48750
2002-07-05,3.49050
2002-07-08,3.49013
2002-07-09,3.49375
2002-07-10,3.48188
2002-07-11,3.47000
2002-07-12,3.47000
2002-07-15,3.46000
2002-07-16,3.44750
2002-07-17,3.45763
2002-07-18,3.46063
2002-07-19,3.44675
2002-07-22,3.43500
2002-07-23,3.43625
2002-07-24,3.39775
2002-07-25,3.40150
2002-07-26,3.40000
2002-07-29,3.39188
2002-07-30,3.41413
2002-07-31,3.41213
2002-08-01,3.39000
2002-08-02,3.37400
2002-08-05,3.33363
2002-08-06,3.34638
2002-08-07,3.36138
2002-08-08,3.33600
2002-08-09,3.35000
2002-08-12,3.35000
2002-08-13,3.35038
2002-08-14,3.32425
2002-08-15,3.35038
2002-08-16,3.38375
2002-08-19,3.39000
2002-08-20,3.39775
2002-08-21,3.39025
2002-08-22,3.41000
2002-08-23,3.41000
2002-08-26,3.41000
2002-08-27,3.40000
2002-08-28,3.39138
2002-08-29,3.36463
2002-08-30,3.35875
2002-09-02,3.34550
2002-09-03,3.33875
2002-09-04,3.31350
2002-09-05,3.28163
2002-09-06,3.27050
2002-09-09,3.31488
2002-09-10,3.31863
2002-09-11,3.31613
2002-09-12,3.31613
2002-09-13,3.29475
2002-09-16,3.29375
2002-09-17,3.30000
2002-09-18,3.27263
2002-09-19,3.27375
2002-09-20,3.25725
2002-09-23,3.24613
2002-09-24,3.24638
2002-09-25,3.23250
2002-09-26,3.24000
2002-09-27,3.25000
2002-09-30,3.22625
2002-10-01,3.19613
2002-10-02,3.21413
2002-10-03,3.17188
2002-10-04,3.16738
2002-10-07,3.12063
2002-10-08,3.15750
2002-10-09,3.16000
2002-10-10,3.14338
2002-10-11,3.19638
2002-10-14,3.21625
2002-10-15,3.23038
2002-10-16,3.24363
2002-10-17,3.27073
2002-10-18,3.20625
2002-10-21,3.19000
2002-10-22,3.18588
2002-10-23,3.17625
2002-10-24,3.16275
2002-10-25,3.21000
2002-10-28,3.19600
2002-10-29,3.19750
2002-10-30,3.17550
2002-10-31,3.19750
2002-11-01,3.16000
2002-11-04,3.16000
2002-11-05,3.13063
2002-11-06,3.15138
