DATE,VALUE
2001-01-02,4.84125
2001-01-03,4.83250
2001-01-04,4.82250
2001-01-05,4.78000
2001-01-08,4.77625
2001-01-09,4.78125
2001-01-10,4.82000
2001-01-11,4.82938
2001-01-12,4.82500
2001-01-15,4.82250
2001-01-16,4.81500
2001-01-17,4.78875
2001-01-18,4.76875
2001-01-19,4.72750
2001-01-22,4.64000
2001-01-23,4.29375
2001-01-24,4.78875
2001-01-25,4.78500
2001-01-26,4.79250
2001-01-29,4.79375
2001-01-30,4.79500
2001-01-31,4.82375
2001-02-01,4.77250
2001-02-02,4.77938
2001-02-05,4.77450
2001-02-06,4.77250
2001-02-07,4.77213
2001-02-08,4.77325
2001-02-09,4.77063
2001-02-12,4.77050
2001-02-13,4.78538
2001-02-14,4.90750
2001-02-15,4.91500
2001-02-16,5.02000
2001-02-19,5.50000
2001-02-20,5.60000
2001-02-21,5.75000
2001-02-22,5.72875
2001-02-23,5.31250
2001-02-26,4.84875
2001-02-27,4.90000
2001-02-28,5.04250
2001-03-01,4.82125
2001-03-02,4.82375
2001-03-05,4.81500
2001-03-06,4.82500
2001-03-07,4.84125
2001-03-08,4.87500
2001-03-09,4.86625
2001-03-12,4.85000
2001-03-13,4.81125
2001-03-14,4.80625
2001-03-15,4.80125
2001-03-16,4.78875
2001-03-19,4.80000
2001-03-20,4.82000
2001-03-21,4.84125
2001-03-22,4.58375
2001-03-23,4.47500
2001-03-26,4.77250
2001-03-27,4.77750
2001-03-28,4.77875
2001-03-29,4.76875
2001-03-30,4.84250
2001-04-02,4.78375
2001-04-03,4.78250
2001-04-04,4.77625
2001-04-05,4.77375
2001-04-06,4.76250
2001-04-09,4.75125
2001-04-10,4.83875
2001-04-11,5.32500
2001-04-12,5.75375
2001-04-13,.
2001-04-16,.
2001-04-17,5.77375
2001-04-18,5.18125
2001-04-19,5.45000
2001-04-20,5.60000
2001-04-23,5.20000
2001-04-24,4.79625
2001-04-25,4.81125
2001-04-26,4.82125
2001-04-27,4.82500
2001-04-30,4.95375
2001-05-01,.
2001-05-02,4.84125
2001-05-03,4.83625
2001-05-04,4.82750
2001-05-07,4.82000
2001-05-08,4.81563
2001-05-09,4.81250
2001-05-10,4.80500
2001-05-11,4.59500
2001-05-14,4.58500
2001-05-15,4.57875
2001-05-16,4.57500
2001-05-17,4.56750
2001-05-18,4.55750
2001-05-21,4.54375
2001-05-22,4.50125
2001-05-23,4.80625
2001-05-24,4.59875
2001-05-25,4.60875
2001-05-28,4.60000
2001-05-29,4.59250
2001-05-30,4.57375
2001-05-31,4.62125
2001-06-01,4.56063
2001-06-04,4.55375
2001-06-05,4.54250
2001-06-06,4.53125
2001-06-07,4.50625
2001-06-08,4.54563
2001-06-11,4.54188
2001-06-12,4.54125
2001-06-13,4.54250
2001-06-14,4.54438
2001-06-15,4.53500
2001-06-18,4.53500
2001-06-19,4.53250
2001-06-20,4.53375
2001-06-21,4.40375
2001-06-22,4.54750
2001-06-25,4.54500
2001-06-26,4.57750
2001-06-27,4.57375
2001-06-28,4.57000
2001-06-29,4.79625
2001-07-02,4.56000
2001-07-03,4.54625
2001-07-04,4.54000
2001-07-05,4.53250
2001-07-06,4.53625
2001-07-09,4.53625
2001-07-10,4.53375
2001-07-11,4.53250
2001-07-12,4.53125
2001-07-13,4.53125
2001-07-16,4.53313
2001-07-17,4.53063
2001-07-18,4.52875
2001-07-19,4.44750
2001-07-20,4.37875
2001-07-23,4.45000
2001-07-24,4.54000
2001-07-25,4.54000
2001-07-26,4.54000
2001-07-27,4.53750
2001-07-30,4.53875
2001-07-31,4.62750
2001-08-01,4.53125
2001-08-02,4.50375
2001-08-03,4.53125
2001-08-06,4.53125
2001-08-07,4.53250
2001-08-08,4.53375
2001-08-09,4.53000
2001-08-10,4.53125
2001-08-13,4.53000
2001-08-14,4.52750
2001-08-15,4.52750
2001-08-16,4.52875
2001-08-17,4.53000
2001-08-20,4.53000
2001-08-21,4.53375
2001-08-22,4.48250
2001-08-23,4.49625
2001-08-24,4.52750
2001-08-27,4.52000
2001-08-28,4.51500
2001-08-29,4.42875
2001-08-30,4.41625
2001-08-31,4.39125
2001-09-03,4.31875
2001-09-04,4.31375
2001-09-05,4.30500
2001-09-06,4.30375
2001-09-07,4.30625
2001-09-10,4.29375
2001-09-11,4.29750
2001-09-12,4.36750
2001-09-13,4.26875
2001-09-14,4.25750
2001-09-17,4.23750
2001-09-18,3.79750
2001-09-19,3.61438
2001-09-20,3.20000
2001-09-21,3.12375
2001-09-24,3.79500
2001-09-25,3.79875
2001-09-26,3.80125
2001-09-27,3.79875
2001-09-28,3.86000
2001-10-01,3.78125
2001-10-02,3.77375
2001-10-03,3.76000
2001-10-04,3.75750
2001-10-05,3.72625
2001-10-08,3.73750
2001-10-09,4.05750
2001-10-10,3.95250
2001-10-11,3.94625
2001-10-12,4.00000
2001-10-15,3.89000
2001-10-16,3.85625
2001-10-17,4.39375
2001-10-18,4.45125
2001-10-19,4.70000
2001-10-22,4.75000
2001-10-23,4.75000
2001-10-24,3.77500
2001-10-25,3.69375
2001-10-26,3.79500
2001-10-29,3.77500
2001-10-30,3.78000
2001-10-31,3.85125
2001-11-01,3.77375
2001-11-02,3.78250
2001-11-05,3.77625
2001-11-06,4.15000
2001-11-07,3.90125
