DATE,VALUE
1997-12-01,0.72656
1997-12-02,0.75391
1997-12-03,0.71094
1997-12-04,0.64453
1997-12-05,0.62891
1997-12-08,0.62891
1997-12-09,0.64063
1997-12-10,0.58984
1997-12-11,0.61328
1997-12-12,0.62109
1997-12-15,0.60156
1997-12-16,0.54297
1997-12-17,0.50781
1997-12-18,0.51953
1997-12-19,0.83203
1997-12-22,0.82813
1997-12-23,0.78906
1997-12-24,1.00000
1997-12-25,.
1997-12-26,.
1997-12-29,0.68750
1997-12-30,0.67969
1997-12-31,0.66016
1998-01-01,.
1998-01-02,0.65234
1998-01-05,0.62500
1998-01-06,0.62500
1998-01-07,0.62109
1998-01-08,0.57422
1998-01-09,0.55469
1998-01-12,0.55469
1998-01-13,0.55859
1998-01-14,0.55859
1998-01-15,0.55859
1998-01-16,0.55469
1998-01-19,0.57813
1998-01-20,0.56250
1998-01-21,0.57031
1998-01-22,0.64844
1998-01-23,0.65234
1998-01-26,0.65234
1998-01-27,0.66016
1998-01-28,0.66797
1998-01-29,0.67969
1998-01-30,0.67969
1998-02-02,0.69141
1998-02-03,0.69141
1998-02-04,0.67969
1998-02-05,0.64844
1998-02-06,0.59375
1998-02-09,0.55469
1998-02-10,0.55469
1998-02-11,0.55469
1998-02-12,0.57031
1998-02-13,0.56641
1998-02-16,0.57422
1998-02-17,0.57813
1998-02-18,0.56250
1998-02-19,0.60547
1998-02-20,0.60156
1998-02-23,0.60156
1998-02-24,0.60547
1998-02-25,0.60938
1998-02-26,0.60938
1998-02-27,0.62500
1998-03-02,0.57031
1998-03-03,0.57813
1998-03-04,0.57813
1998-03-05,0.55078
1998-03-06,0.55078
1998-03-09,0.56641
1998-03-10,0.57813
1998-03-11,0.57422
1998-03-12,0.58594
1998-03-13,0.57813
1998-03-16,0.57422
1998-03-17,0.56250
1998-03-18,0.56641
1998-03-19,0.57813
1998-03-20,0.57813
1998-03-23,0.89844
1998-03-24,0.97656
1998-03-25,1.19922
1998-03-26,1.16016
1998-03-27,0.99219
1998-03-30,0.74219
1998-03-31,0.75000
1998-04-01,0.69531
1998-04-02,0.61328
1998-04-03,0.58984
1998-04-06,0.56250
1998-04-07,0.56250
1998-04-08,0.56250
1998-04-09,0.56250
1998-04-10,.
1998-04-13,.
1998-04-14,0.56250
1998-04-15,0.57031
1998-04-16,0.57031
1998-04-17,0.56641
1998-04-20,0.56641
1998-04-21,0.56250
1998-04-22,0.56641
1998-04-23,0.59375
1998-04-24,0.57813
1998-04-27,0.57813
1998-04-28,0.57813
1998-04-29,0.58594
1998-04-30,0.57813
1998-05-01,0.57813
1998-05-04,.
