DATE,VALUE
1986-01-02,6.81250
1986-01-03,6.68750
1986-01-06,6.75000
1986-01-07,6.75000
1986-01-08,6.68750
1986-01-09,6.81250
1986-01-10,6.87500
1986-01-13,6.93750
1986-01-14,6.93750
1986-01-15,6.93750
1986-01-16,6.87500
1986-01-17,6.81250
1986-01-20,6.93750
1986-01-21,7.00000
1986-01-22,6.96880
1986-01-23,7.00000
1986-01-24,6.84380
1986-01-27,6.56250
1986-01-28,6.37500
1986-01-29,6.31250
1986-01-30,6.31250
1986-01-31,6.25000
1986-02-03,6.18750
1986-02-04,6.18750
1986-02-05,6.12500
1986-02-06,6.18750
1986-02-07,6.18750
1986-02-10,6.15630
1986-02-11,6.18750
1986-02-12,6.18750
1986-02-13,6.18750
1986-02-14,6.12500
1986-02-17,6.12500
1986-02-18,6.00000
1986-02-19,6.00000
1986-02-20,6.00000
1986-02-21,6.18750
1986-02-24,6.18750
1986-02-25,6.15630
1986-02-26,6.12500
1986-02-27,6.03130
1986-02-28,6.00000
1986-03-03,5.90630
1986-03-04,5.81250
1986-03-05,5.62500
1986-03-06,5.50000
1986-03-07,5.62500
1986-03-10,5.56250
1986-03-11,5.53130
1986-03-12,5.56250
1986-03-13,5.62500
1986-03-14,5.62500
1986-03-17,5.62500
1986-03-18,5.50000
1986-03-19,5.56250
1986-03-20,5.56250
1986-03-21,5.56250
1986-03-24,5.56250
1986-03-25,5.71880
1986-03-26,5.43750
1986-03-27,5.37500
1986-03-28,.
1986-03-31,.
1986-04-01,5.18750
1986-04-02,5.18750
1986-04-03,5.25000
1986-04-04,5.28130
1986-04-07,5.15630
1986-04-08,5.00000
1986-04-09,4.81250
1986-04-10,4.87500
1986-04-11,4.93750
1986-04-14,4.90630
1986-04-15,4.87500
1986-04-16,4.81250
1986-04-17,4.68750
1986-04-18,4.75000
1986-04-21,4.78130
1986-04-22,4.81250
1986-04-23,4.75000
1986-04-24,4.81250
1986-04-25,4.87500
1986-04-28,4.87500
1986-04-29,4.87500
1986-04-30,4.87500
1986-05-01,4.84380
1986-05-02,4.75000
1986-05-05,.
1986-05-06,4.71880
1986-05-07,4.75000
1986-05-08,4.75000
1986-05-09,4.68750
1986-05-12,4.68750
1986-05-13,4.68750
1986-05-14,4.71880
1986-05-15,4.71880
1986-05-16,4.90630
1986-05-19,5.00000
1986-05-20,4.93750
1986-05-21,4.93750
1986-05-22,4.96880
1986-05-23,4.93750
1986-05-26,.
1986-05-27,4.93750
1986-05-28,4.87500
1986-05-29,4.87500
1986-05-30,4.87500
1986-06-02,4.81250
1986-06-03,4.81250
1986-06-04,4.81250
1986-06-05,4.81250
1986-06-06,4.81250
1986-06-09,4.79690
1986-06-10,4.81250
1986-06-11,4.81250
1986-06-12,4.81250
1986-06-13,4.81250
1986-06-16,4.78130
1986-06-17,4.81250
1986-06-18,4.81250
1986-06-19,4.81250
1986-06-20,4.81250
1986-06-23,4.82810
1986-06-24,4.76560
1986-06-25,4.75000
1986-06-26,4.75000
1986-06-27,4.75000
1986-06-30,4.75000
1986-07-01,4.73440
1986-07-02,4.75000
1986-07-03,4.75000
1986-07-04,4.68750
1986-07-07,4.62500
1986-07-08,4.62500
1986-07-09,4.62500
1986-07-10,4.62500
1986-07-11,4.64060
1986-07-14,4.68750
1986-07-15,4.75000
1986-07-16,4.75000
1986-07-17,4.75000
1986-07-18,4.75000
1986-07-21,4.75000
1986-07-22,4.75000
1986-07-23,4.81250
1986-07-24,4.81250
1986-07-25,4.81250
1986-07-28,4.84380
1986-07-29,4.87500
1986-07-30,4.87500
1986-07-31,4.87500
1986-08-01,4.81250
1986-08-04,4.87500
1986-08-05,4.87500
1986-08-06,4.87500
1986-08-07,4.87500
1986-08-08,4.87500
1986-08-11,4.87500
1986-08-12,4.87500
1986-08-13,4.82810
1986-08-14,4.84380
1986-08-15,4.81250
1986-08-18,4.87500
1986-08-19,4.87500
1986-08-20,4.87500
1986-08-21,4.81250
1986-08-22,4.87500
1986-08-25,.
1986-08-26,4.87500
1986-08-27,4.87500
1986-08-28,4.87500
1986-08-29,4.87500
1986-09-01,4.84380
1986-09-02,4.85940
1986-09-03,4.84380
1986-09-04,4.87500
1986-09-05,4.87500
1986-09-08,4.81250
1986-09-09,4.87500
1986-09-10,4.87500
1986-09-11,4.90630
1986-09-12,4.93760
1986-09-15,4.93750
1986-09-16,4.93750
1986-09-17,5.06250
1986-09-18,5.12500
1986-09-19,5.12500
1986-09-22,5.12500
1986-09-23,5.06250
1986-09-24,4.93750
1986-09-25,4.93750
1986-09-26,5.00000
1986-09-29,5.04690
1986-09-30,5.00000
1986-10-01,5.00000
1986-10-02,5.00000
1986-10-03,5.00000
1986-10-06,5.00000
1986-10-07,5.00000
1986-10-08,5.00000
1986-10-09,5.00000
1986-10-10,5.00000
1986-10-13,5.00000
1986-10-14,5.06250
1986-10-15,5.06250
1986-10-16,5.06250
1986-10-17,5.06250
1986-10-20,5.06250
1986-10-21,5.06250
1986-10-22,5.06250
1986-10-23,5.06250
1986-10-24,5.12500
1986-10-27,5.09380
1986-10-28,5.06250
1986-10-29,4.95310
1986-10-30,4.68750
1986-10-31,4.65630
1986-11-03,4.67190
1986-11-04,4.68750
1986-11-05,4.65630
1986-11-06,4.62500
1986-11-07,4.64060
1986-11-10,4.68750
1986-11-11,4.68750
1986-11-12,4.71880
1986-11-13,4.75000
1986-11-14,4.75000
1986-11-17,4.73440
1986-11-18,4.71880
1986-11-19,4.68750
1986-11-20,4.71880
1986-11-21,4.68750
1986-11-24,4.68750
1986-11-25,4.68750
1986-11-26,4.68750
1986-11-27,4.68750
1986-11-28,4.62500
1986-12-01,4.56250
1986-12-02,4.50000
1986-12-03,4.50000
1986-12-04,4.50000
1986-12-05,4.43750
1986-12-08,4.48440
1986-12-09,4.56250
1986-12-10,4.56250
1986-12-11,4.50000
1986-12-12,4.50000
1986-12-15,4.50000
1986-12-16,4.56250
1986-12-17,4.56250
1986-12-18,4.56250
1986-12-19,4.56250
1986-12-22,4.67190
1986-12-23,4.60940
1986-12-24,4.56250
1986-12-25,.
1986-12-26,.
1986-12-29,4.48440
1986-12-30,4.50000
1986-12-31,4.62500
1987-01-01,.
1987-01-02,4.56250
1987-01-05,4.50000
1987-01-06,4.50000
1987-01-07,4.43750
1987-01-08,4.43750
1987-01-09,4.43750
1987-01-12,4.43750
1987-01-13,4.43750
1987-01-14,4.37500
1987-01-15,4.15630
1987-01-16,4.25000
1987-01-19,4.25000
1987-01-20,4.18750
1987-01-21,4.18750
1987-01-22,4.18750
1987-01-23,4.18750
1987-01-26,4.25000
1987-01-27,4.25000
1987-01-28,4.25000
1987-01-29,4.25000
1987-01-30,4.26560
1987-02-02,4.25000
1987-02-03,4.25000
1987-02-04,4.18750
1987-02-05,4.12500
1987-02-06,4.18750
1987-02-09,4.25000
1987-02-10,4.35940
1987-02-11,4.37500
1987-02-12,4.31250
1987-02-13,4.34380
1987-02-16,4.43750
1987-02-17,4.50000
1987-02-18,4.43750
1987-02-19,4.25000
1987-02-20,4.25000
1987-02-23,4.25000
