DATE,VALUE
2001-01-02,0.71250
2001-01-03,0.85250
2001-01-04,1.58125
2001-01-05,1.16875
2001-01-08,0.90875
2001-01-09,0.51750
2001-01-10,0.45125
2001-01-11,0.44750
2001-01-12,0.44750
2001-01-15,0.44750
2001-01-16,0.44250
2001-01-17,0.40875
2001-01-18,0.40500
2001-01-19,0.41125
2001-01-22,0.53000
2001-01-23,0.43375
2001-01-24,0.41250
2001-01-25,0.40625
2001-01-26,0.39875
2001-01-29,0.49000
2001-01-30,0.41875
2001-01-31,0.39500
2001-02-01,0.39250
2001-02-02,0.38625
2001-02-05,0.37250
2001-02-06,0.36125
2001-02-07,0.35000
2001-02-08,0.35000
2001-02-09,0.33625
2001-02-12,0.37000
2001-02-13,0.36000
2001-02-14,0.36375
2001-02-15,0.35125
2001-02-16,0.34875
2001-02-19,0.34750
2001-02-20,0.34625
2001-02-21,0.34750
2001-02-22,0.34375
2001-02-23,0.33750
2001-02-26,0.34000
2001-02-27,0.35000
2001-02-28,0.29000
2001-03-01,0.24875
2001-03-02,0.24250
2001-03-05,0.23750
2001-03-06,0.22750
2001-03-07,0.23125
2001-03-08,0.23375
2001-03-09,0.23875
2001-03-12,0.23875
2001-03-13,0.23875
2001-03-14,0.24375
2001-03-15,0.23500
2001-03-16,0.20375
2001-03-19,0.13250
2001-03-20,0.16875
2001-03-21,0.13875
2001-03-22,0.12375
2001-03-23,0.11875
2001-03-26,0.10250
2001-03-27,0.09875
2001-03-28,0.30125
2001-03-29,0.12250
2001-03-30,0.12875
2001-04-02,0.14125
2001-04-03,0.12375
2001-04-04,0.11250
2001-04-05,0.10250
2001-04-06,0.10250
2001-04-09,0.09500
2001-04-10,0.09125
2001-04-11,0.08500
2001-04-12,0.08125
2001-04-13,.
2001-04-16,.
2001-04-17,0.07125
2001-04-18,0.07125
2001-04-19,0.06875
2001-04-20,0.07000
2001-04-23,0.06750
2001-04-24,0.06625
2001-04-25,0.06750
2001-04-26,0.06500
2001-04-27,0.06250
2001-04-30,0.07250
2001-05-01,0.06625
2001-05-02,0.06250
2001-05-03,0.06250
2001-05-04,0.06500
2001-05-07,.
2001-05-08,0.06500
2001-05-09,0.06500
2001-05-10,0.06375
2001-05-11,0.06250
