DATE,VALUE
2003-06-16,4.92750
2003-06-17,4.95500
2003-06-18,4.95250
2003-06-19,4.95250
2003-06-20,4.92750
2003-06-23,4.94000
2003-06-24,4.95500
2003-06-25,4.96500
2003-06-26,5.03000
2003-06-27,5.05000
2003-06-30,5.03500
2003-07-01,5.02000
2003-07-02,5.03250
2003-07-03,5.01250
2003-07-04,5.02000
2003-07-07,5.00500
2003-07-08,5.02250
2003-07-09,5.01000
2003-07-10,5.02000
2003-07-11,5.01250
2003-07-14,5.00250
2003-07-15,4.97000
2003-07-16,5.00000
2003-07-17,5.01000
2003-07-18,5.04000
2003-07-21,5.07500
2003-07-22,5.10000
2003-07-23,5.09500
2003-07-24,5.04250
2003-07-25,5.04500
2003-07-28,5.05250
2003-07-29,5.07750
2003-07-30,5.10000
2003-07-31,5.10000
2003-08-01,5.15250
2003-08-04,5.15000
2003-08-05,5.17250
2003-08-06,5.16750
2003-08-07,5.14750
2003-08-08,5.21750
2003-08-11,5.31750
2003-08-12,5.32000
2003-08-13,5.33000
2003-08-14,5.33250
2003-08-15,5.31500
2003-08-18,5.31250
2003-08-19,5.30500
2003-08-20,5.30250
2003-08-21,5.30250
2003-08-22,5.32250
2003-08-26,5.33000
2003-08-27,5.34250
2003-08-28,5.32750
2003-08-29,5.35750
2003-09-01,5.37000
2003-09-02,5.38000
2003-09-03,5.39750
2003-09-04,5.43250
2003-09-05,5.44250
2003-09-08,5.41500
2003-09-09,5.44250
2003-09-10,5.44750
2003-09-11,5.47250
2003-09-12,5.47500
2003-09-15,5.44750
2003-09-16,5.44000
2003-09-17,5.42750
2003-09-18,5.41000
2003-09-19,5.40500
2003-09-22,5.43250
2003-09-23,5.40750
2003-09-24,5.40250
2003-09-25,5.37000
2003-09-26,5.38750
2003-09-29,5.38750
2003-09-30,5.39750
2003-10-01,5.38750
2003-10-02,5.40000
2003-10-03,5.39750
2003-10-06,5.44750
2003-10-07,5.44750
2003-10-08,5.48500
2003-10-09,5.50000
2003-10-10,5.50500
2003-10-13,5.53000
2003-10-14,5.53000
2003-10-15,5.52250
2003-10-16,5.53750
2003-10-17,5.55250
2003-10-20,5.58250
2003-10-21,5.59500
2003-10-22,5.60250
2003-10-23,5.62250
2003-10-24,5.63500
2003-10-27,5.64250
2003-10-28,5.65500
2003-10-29,5.64250
2003-10-30,5.65250
2003-10-31,5.66750
2003-11-03,5.71500
2003-11-04,5.70000
2003-11-05,5.79000
2003-11-06,5.82500
2003-11-07,5.81750
2003-11-10,5.84500
2003-11-11,5.89500
2003-11-12,5.92250
2003-11-13,5.90250
2003-11-14,5.87750
2003-11-17,5.88500
2003-11-18,5.89250
2003-11-19,5.88500
2003-11-20,5.87500
2003-11-21,5.81000
2003-11-24,5.85000
2003-11-25,5.87500
2003-11-26,5.90000
2003-11-27,5.92000
2003-11-28,5.92250
2003-12-01,5.95000
2003-12-02,5.96500
2003-12-03,5.97000
2003-12-04,5.83750
2003-12-05,5.83500
2003-12-08,5.79750
2003-12-09,5.80500
2003-12-10,5.84750
2003-12-11,5.85500
2003-12-12,5.83250
2003-12-15,5.80500
2003-12-16,5.82000
2003-12-17,5.82250
2003-12-18,5.80500
2003-12-19,5.82750
2003-12-22,5.82250
2003-12-23,5.82750
2003-12-24,5.82750
2003-12-29,5.82250
2003-12-30,5.84000
2003-12-31,5.82750
2004-01-02,5.88000
2004-01-05,5.89000
2004-01-06,5.84750
2004-01-07,5.82500
2004-01-08,5.79250
2004-01-09,5.76000
2004-01-12,5.65750
2004-01-13,5.63000
2004-01-14,5.64750
2004-01-15,5.61750
2004-01-16,5.62250
2004-01-19,5.63750
2004-01-20,5.72500
2004-01-21,5.72750
2004-01-22,5.71750
2004-01-23,5.67000
2004-01-26,5.67500
2004-01-27,5.68250
2004-01-28,5.71500
2004-01-29,5.89500
2004-01-30,5.91500
2004-02-02,5.91250
2004-02-03,5.88750
2004-02-04,5.87750
2004-02-05,5.86750
2004-02-06,5.89000
2004-02-09,5.88000
2004-02-10,5.83000
2004-02-11,5.81500
2004-02-12,5.80250
2004-02-13,5.76250
2004-02-16,5.76500
2004-02-17,5.78000
2004-02-18,5.78000
2004-02-19,5.80000
2004-02-20,5.80750
2004-02-23,5.82750
2004-02-24,5.83250
2004-02-25,5.81750
2004-02-26,5.79750
2004-02-27,5.78750
2004-03-01,5.77000
2004-03-02,5.77750
2004-03-03,5.81500
2004-03-04,5.82500
2004-03-05,5.85500
2004-03-08,5.81250
2004-03-09,5.81500
2004-03-10,5.80750
2004-03-11,5.64000
2004-03-12,5.60000
2004-03-15,5.60750
2004-03-16,5.60500
2004-03-17,5.61000
2004-03-18,5.62250
2004-03-19,5.64000
2004-03-22,5.63000
2004-03-23,5.63250
2004-03-24,5.63250
2004-03-25,5.63250
2004-03-26,5.58750
2004-03-29,5.62000
2004-03-30,5.63250
2004-03-31,5.61000
2004-04-01,5.62000
2004-04-02,5.62750
2004-04-05,5.74500
2004-04-06,5.69750
2004-04-07,5.70000
2004-04-08,5.69500
2004-04-13,5.72750
2004-04-14,5.75000
2004-04-15,5.75500
2004-04-16,5.77000
2004-04-19,5.74750
2004-04-20,5.77750
2004-04-21,5.80000
2004-04-22,5.83000
2004-04-23,5.83250
2004-04-26,5.84250
2004-04-27,5.87500
2004-04-28,5.89000
2004-04-29,6.00250
2004-04-30,6.01250
2004-05-04,6.01250
