DATE,VALUE
2003-06-16,5.39750
2003-06-17,5.40500
2003-06-18,5.39500
2003-06-19,5.40750
2003-06-20,5.40500
2003-06-23,5.39250
2003-06-24,5.38750
2003-06-25,5.39250
2003-06-26,5.32750
2003-06-27,5.30500
2003-06-30,5.27250
2003-07-01,5.25250
2003-07-02,5.24500
2003-07-03,5.24000
2003-07-04,5.23250
2003-07-07,5.16500
2003-07-08,5.19500
2003-07-09,5.18250
2003-07-10,5.14750
2003-07-11,5.14500
2003-07-14,5.14000
2003-07-15,5.11750
2003-07-16,5.13000
2003-07-17,5.12500
2003-07-18,5.12750
2003-07-21,5.11750
2003-07-22,5.08500
2003-07-23,5.09000
2003-07-24,5.05750
2003-07-25,5.06750
2003-07-28,5.05000
2003-07-29,5.05000
2003-07-30,5.04000
2003-07-31,5.04750
2003-08-01,5.04250
2003-08-04,5.01000
2003-08-05,5.03250
2003-08-06,5.02750
2003-08-07,5.03500
2003-08-08,5.04000
2003-08-11,5.05000
2003-08-12,5.05000
2003-08-13,5.05000
2003-08-14,5.05250
2003-08-15,5.05000
2003-08-18,5.04500
2003-08-19,5.04000
2003-08-20,5.03500
2003-08-21,5.03500
2003-08-22,5.04250
2003-08-26,5.04500
2003-08-27,5.05750
2003-08-28,5.06000
2003-08-29,5.06000
2003-09-01,5.06000
2003-09-02,5.07750
2003-09-03,5.05750
2003-09-04,5.05500
2003-09-05,5.05250
2003-09-08,5.05500
2003-09-09,5.05250
2003-09-10,5.05750
2003-09-11,5.06250
2003-09-12,5.07750
2003-09-15,5.06500
2003-09-16,5.06750
2003-09-17,5.07000
2003-09-18,5.07000
2003-09-19,5.05750
2003-09-22,5.06000
2003-09-23,5.09250
2003-09-24,5.07500
2003-09-25,5.07750
2003-09-26,5.09000
2003-09-29,5.09500
2003-09-30,5.09000
2003-10-01,5.10000
2003-10-02,5.10000
2003-10-03,5.09500
2003-10-06,5.09250
2003-10-07,5.08750
2003-10-08,5.09250
2003-10-09,5.09000
2003-10-10,5.10250
2003-10-13,5.09750
2003-10-14,5.11250
2003-10-15,5.10250
2003-10-16,5.10750
2003-10-17,5.11500
2003-10-20,5.12000
2003-10-21,5.13250
2003-10-22,5.11750
2003-10-23,5.12000
2003-10-24,5.12000
2003-10-27,5.13000
2003-10-28,5.13250
2003-10-29,5.12000
2003-10-30,5.11000
