DATE,VALUE
2006-01-23,2.36500
2006-01-24,2.36925
2006-01-25,2.37125
2006-01-26,2.38750
2006-01-27,2.40250
2006-01-30,2.43200
2006-01-31,2.43750
2006-02-01,2.44500
2006-02-02,2.44975
2006-02-03,2.42750
2006-02-06,2.41000
2006-02-07,2.42000
2006-02-08,2.41750
2006-02-09,2.41500
2006-02-10,2.41000
2006-02-13,2.40250
2006-02-14,2.39750
2006-02-15,2.40250
2006-02-16,2.38500
2006-02-17,2.31025
2006-02-20,2.28750
2006-02-21,2.31000
2006-02-22,2.33250
2006-02-23,2.33000
2006-02-24,2.33750
2006-02-27,2.33250
2006-02-28,2.36000
2006-03-01,2.37250
2006-03-02,2.37000
2006-03-03,2.39000
2006-03-06,2.40375
2006-03-07,2.40775
2006-03-08,2.41125
2006-03-09,2.41500
2006-03-10,2.44000
2006-03-13,2.46250
2006-03-14,2.46675
2006-03-15,2.46750
2006-03-16,2.48000
2006-03-17,2.48000
2006-03-20,2.48500
2006-03-21,2.49500
2006-03-22,2.49750
2006-03-23,2.49750
2006-03-24,2.49750
2006-03-27,2.49750
2006-03-28,2.51500
2006-03-29,2.54000
2006-03-30,2.57000
2006-03-31,2.59000
2006-04-03,2.61750
2006-04-04,2.63575
2006-04-05,2.62875
2006-04-06,2.63750
2006-04-07,2.58250
2006-04-10,2.58250
2006-04-11,2.57925
2006-04-12,2.58500
2006-04-13,2.59500
2006-04-18,2.61250
2006-04-19,2.59400
2006-04-20,2.58875
2006-04-21,2.57750
2006-04-24,2.57075
2006-04-25,2.59250
2006-04-26,2.60500
2006-04-27,2.63500
2006-04-28,2.63000
2006-05-02,2.63850
2006-05-03,2.63000
2006-05-04,2.63188
2006-05-05,2.62938
2006-05-08,2.62600
2006-05-09,2.62500
2006-05-10,2.63400
2006-05-11,2.65250
2006-05-12,2.66200
2006-05-15,2.67375
2006-05-16,2.66075
2006-05-17,2.65750
2006-05-18,2.66188
2006-05-19,2.67313
2006-05-22,2.66500
2006-05-23,2.65975
2006-05-24,2.66250
2006-05-25,2.66250
2006-05-26,2.65500
2006-05-30,2.68250
2006-05-31,2.73000
2006-06-01,2.78000
2006-06-02,2.79250
2006-06-05,2.80000
2006-06-06,2.79750
2006-06-07,2.82750
2006-06-08,2.83750
2006-06-09,2.80500
2006-06-12,2.80250
2006-06-13,2.77975
2006-06-14,2.79250
2006-06-15,2.80750
2006-06-16,2.82688
2006-06-19,2.83500
2006-06-20,2.88100
2006-06-21,2.90000
2006-06-22,2.91125
2006-06-23,2.91300
2006-06-26,2.91225
2006-06-27,2.93700
2006-06-28,2.94250
2006-06-29,2.94675
2006-06-30,2.95250
2006-07-03,2.96425
2006-07-04,2.96850
2006-07-05,2.97500
2006-07-06,2.97750
2006-07-07,2.98250
2006-07-10,2.99250
2006-07-11,2.99825
2006-07-12,3.00150
2006-07-13,3.00250
2006-07-14,3.00350
2006-07-17,3.00375
2006-07-18,3.00000
2006-07-19,3.01500
2006-07-20,3.01875
2006-07-21,3.01000
2006-07-24,3.01750
2006-07-25,3.00875
2006-07-26,3.01250
2006-07-27,3.01250
2006-07-28,3.02000
2006-07-31,3.02000
2006-08-01,3.03000
2006-08-02,3.03750
