DATE,VALUE
2006-01-23,1.85250
2006-01-24,1.85750
2006-01-25,1.85750
2006-01-26,1.85750
2006-01-27,1.85750
2006-01-30,1.86000
2006-01-31,1.85500
2006-02-01,1.86250
2006-02-02,1.86250
2006-02-03,1.86250
2006-02-06,1.85750
2006-02-07,1.86500
2006-02-08,1.86250
2006-02-09,1.85500
2006-02-10,1.86250
2006-02-13,1.85250
2006-02-14,1.85250
2006-02-15,1.85500
2006-02-16,1.86250
2006-02-17,1.86125
2006-02-20,1.85250
2006-02-21,1.88750
2006-02-22,1.91625
2006-02-23,2.03750
2006-02-24,2.09125
2006-02-27,2.10000
2006-02-28,2.10625
2006-03-01,2.11500
2006-03-02,2.11500
2006-03-03,2.11500
2006-03-06,2.11500
2006-03-07,2.11250
2006-03-08,2.11250
2006-03-09,2.11375
2006-03-10,2.11250
2006-03-13,2.12000
2006-03-14,2.12325
2006-03-15,2.12250
2006-03-16,2.12875
2006-03-17,2.13000
2006-03-20,2.13000
2006-03-21,2.13000
2006-03-22,2.12750
2006-03-23,2.13500
2006-03-24,2.13000
2006-03-27,2.13500
2006-03-28,2.13250
2006-03-29,2.13750
2006-03-30,2.13750
2006-03-31,2.13500
2006-04-03,2.13500
2006-04-04,2.12500
2006-04-05,2.12375
2006-04-06,2.12500
2006-04-07,2.11875
2006-04-10,2.12500
2006-04-11,2.12000
2006-04-12,2.11500
2006-04-13,2.12050
2006-04-18,2.11875
2006-04-19,2.12150
2006-04-20,2.11525
2006-04-21,2.12500
2006-04-24,2.11750
2006-04-25,2.11775
2006-04-26,2.11775
2006-04-27,2.10625
2006-04-28,2.10500
2006-05-02,2.10000
2006-05-03,2.10025
2006-05-04,2.11250
2006-05-05,2.11500
2006-05-08,2.11500
2006-05-09,2.10500
2006-05-10,2.11500
2006-05-11,2.10500
2006-05-12,2.11500
2006-05-15,2.11750
2006-05-16,2.11500
2006-05-17,2.10750
2006-05-18,2.11250
2006-05-19,2.12000
2006-05-22,2.12000
2006-05-23,2.11000
2006-05-24,2.11275
2006-05-25,2.11750
2006-05-26,2.11750
2006-05-30,2.12500
2006-05-31,2.12000
2006-06-01,2.12000
