DATE,VALUE
2006-01-23,2.10250
2006-01-24,2.10350
2006-01-25,2.10250
2006-01-26,2.11750
2006-01-27,2.11750
2006-01-30,2.12900
2006-01-31,2.13750
2006-02-01,2.14250
2006-02-02,2.14500
2006-02-03,2.13700
2006-02-06,2.11500
2006-02-07,2.13000
2006-02-08,2.13500
2006-02-09,2.12500
2006-02-10,2.14000
2006-02-13,2.13250
2006-02-14,2.13500
2006-02-15,2.14500
2006-02-16,2.14000
2006-02-17,2.10500
2006-02-20,2.10250
2006-02-21,2.11750
2006-02-22,2.13500
2006-02-23,2.16000
2006-02-24,2.17500
2006-02-27,2.17750
2006-02-28,2.18475
2006-03-01,2.18500
2006-03-02,2.18725
2006-03-03,2.20500
2006-03-06,2.21450
2006-03-07,2.22000
2006-03-08,2.21775
2006-03-09,2.22000
2006-03-10,2.22750
2006-03-13,2.25000
2006-03-14,2.25825
2006-03-15,2.26500
2006-03-16,2.26750
2006-03-17,2.26000
2006-03-20,2.25700
2006-03-21,2.26075
2006-03-22,2.25750
2006-03-23,2.25750
2006-03-24,2.26250
2006-03-27,2.25650
2006-03-28,2.26000
2006-03-29,2.27750
2006-03-30,2.29500
2006-03-31,2.31250
2006-04-03,2.33000
2006-04-04,2.33250
2006-04-05,2.34000
2006-04-06,2.34500
2006-04-07,2.31500
2006-04-10,2.30725
2006-04-11,2.30500
2006-04-12,2.31000
2006-04-13,2.31250
2006-04-18,2.31750
2006-04-19,2.30500
2006-04-20,2.29925
2006-04-21,2.30063
2006-04-24,2.29200
2006-04-25,2.29600
2006-04-26,2.30425
2006-04-27,2.31750
2006-04-28,2.31500
2006-05-02,2.32250
2006-05-03,2.31825
2006-05-04,2.31875
2006-05-05,2.31063
2006-05-08,2.31500
2006-05-09,2.31500
2006-05-10,2.33175
2006-05-11,2.33750
2006-05-12,2.35000
2006-05-15,2.35500
2006-05-16,2.35500
2006-05-17,2.34750
2006-05-18,2.35750
2006-05-19,2.36625
2006-05-22,2.36250
2006-05-23,2.36000
2006-05-24,2.36250
2006-05-25,2.36250
2006-05-26,2.36250
2006-05-30,2.39750
2006-05-31,2.42750
2006-06-01,2.45250
2006-06-02,2.46000
2006-06-05,2.46750
2006-06-06,2.46750
2006-06-07,2.48250
2006-06-08,2.49250
2006-06-09,2.48250
2006-06-12,2.48750
2006-06-13,2.47625
2006-06-14,2.48250
2006-06-15,2.49250
2006-06-16,2.50125
2006-06-19,2.52125
2006-06-20,2.54250
2006-06-21,2.54975
2006-06-22,2.54000
2006-06-23,2.54000
2006-06-26,2.54000
2006-06-27,2.55500
2006-06-28,2.56500
2006-06-29,2.56750
2006-06-30,2.56750
2006-07-03,2.57425
2006-07-04,2.57650
2006-07-05,2.57750
2006-07-06,2.58500
2006-07-07,2.58500
2006-07-10,2.59500
2006-07-11,2.60700
2006-07-12,2.61300
2006-07-13,2.62275
2006-07-14,2.62950
2006-07-17,2.63750
2006-07-18,2.63625
2006-07-19,2.64375
2006-07-20,2.64500
2006-07-21,2.64125
2006-07-24,2.64750
2006-07-25,2.64750
2006-07-26,2.65000
2006-07-27,2.64750
2006-07-28,2.65250
2006-07-31,2.66125
2006-08-01,2.65750
2006-08-02,2.66400
2006-08-03,2.67500
2006-08-04,2.69500
2006-08-07,2.70850
2006-08-08,2.73125
2006-08-09,2.77100
2006-08-10,2.75800
2006-08-11,2.76600
2006-08-14,2.76750
2006-08-15,2.76000
2006-08-16,2.77500
2006-08-17,2.79425
2006-08-18,2.80125
2006-08-21,2.81000
2006-08-22,2.82000
2006-08-23,2.81750
2006-08-24,2.84625
2006-08-25,2.87000
2006-08-29,2.87000
2006-08-30,2.85650
2006-08-31,2.85750
2006-09-01,2.85750
2006-09-04,2.86500
2006-09-05,2.86750
2006-09-06,2.88075
2006-09-07,2.88375
2006-09-08,2.88250
2006-09-11,2.88750
2006-09-12,2.89000
2006-09-13,2.89000
2006-09-14,2.89250
2006-09-15,2.89500
2006-09-18,2.90500
2006-09-19,2.90525
2006-09-20,2.90550
2006-09-21,2.91250
2006-09-22,2.91375
2006-09-25,2.91500
2006-09-26,2.91750
2006-09-27,2.92000
2006-09-28,2.93250
2006-09-29,2.94375
2006-10-02,2.94375
2006-10-03,2.96175
2006-10-04,2.96250
2006-10-05,2.97500
2006-10-06,2.97500
2006-10-09,2.98000
2006-10-10,2.98875
2006-10-11,2.99250
2006-10-12,3.00250
2006-10-13,3.01750
2006-10-16,3.02125
2006-10-17,3.02250
2006-10-18,3.02750
2006-10-19,3.04000
2006-10-20,3.04500
2006-10-23,3.05500
2006-10-24,3.05950
2006-10-25,3.06750
2006-10-26,3.07475
2006-10-27,3.08000
2006-10-30,3.08650
2006-10-31,3.08725
2006-11-01,3.09600
2006-11-02,3.09750
2006-11-03,3.09750
2006-11-06,3.10000
2006-11-07,3.10750
2006-11-08,3.11000
2006-11-09,3.12000
2006-11-10,3.12500
2006-11-13,3.12500
2006-11-14,3.13000
2006-11-15,3.12750
2006-11-16,3.13250
2006-11-17,3.14000
2006-11-20,3.14250
2006-11-21,3.15000
2006-11-22,3.15000
2006-11-23,3.16500
2006-11-24,3.16750
2006-11-27,3.17250
2006-11-28,3.17250
2006-11-29,3.18250
2006-11-30,3.19000
2006-12-01,3.20125
2006-12-04,3.20500
2006-12-05,3.20750
2006-12-06,3.21250
2006-12-07,3.22600
2006-12-08,3.23500
2006-12-11,3.24500
2006-12-12,3.25500
2006-12-13,3.25750
2006-12-14,3.26500
2006-12-15,3.27750
2006-12-18,3.28150
2006-12-19,3.28818
2006-12-20,3.28575
2006-12-21,3.29950
2006-12-22,3.30000
2006-12-27,3.30750
2006-12-28,3.32200
2006-12-29,3.32750
2007-01-02,3.33750
2007-01-03,3.34375
2007-01-04,3.35375
2007-01-05,3.36000
2007-01-08,3.36750
2007-01-09,3.38000
2007-01-10,3.38500
2007-01-11,3.39500
2007-01-12,3.39750
2007-01-15,3.40500
2007-01-16,3.40750
2007-01-17,3.41250
2007-01-18,3.43000
2007-01-19,3.43250
2007-01-22,3.44225
2007-01-23,3.44750
2007-01-24,3.45000
2007-01-25,3.46000
2007-01-26,3.46250
2007-01-29,3.48000
2007-01-30,3.49750
2007-01-31,3.49750
2007-02-01,3.51000
2007-02-02,3.51000
2007-02-05,3.49750
2007-02-06,3.46500
2007-02-07,3.46500
2007-02-08,3.46750
2007-02-09,3.45875
2007-02-12,3.46000
2007-02-13,3.46375
2007-02-14,3.46500
2007-02-15,3.45000
2007-02-16,3.44875
2007-02-19,3.45125
2007-02-20,3.45375
2007-02-21,3.45375
2007-02-22,3.45000
2007-02-23,3.45375
2007-02-26,3.45250
2007-02-27,3.45500
2007-02-28,3.45625
2007-03-01,3.45875
2007-03-02,3.46000
2007-03-05,3.46550
2007-03-06,3.46375
2007-03-07,3.46425
2007-03-08,3.46475
