DATE,VALUE
2006-01-23,1.84250
2006-01-24,1.84500
2006-01-25,1.84500
2006-01-26,1.84500
2006-01-27,1.84500
2006-01-30,1.84500
2006-01-31,1.84250
2006-02-01,1.84750
2006-02-02,1.84750
2006-02-03,1.84750
2006-02-06,1.84250
2006-02-07,1.84750
2006-02-08,1.84750
2006-02-09,1.84250
2006-02-10,1.84750
2006-02-13,1.84250
2006-02-14,1.84250
2006-02-15,1.84250
2006-02-16,1.84750
2006-02-17,1.84750
2006-02-20,1.83750
2006-02-21,1.84250
2006-02-22,1.84250
2006-02-23,1.84750
2006-02-24,1.84750
2006-02-27,2.07000
2006-02-28,2.09500
2006-03-01,2.09750
2006-03-02,2.10000
2006-03-03,2.10000
2006-03-06,2.09750
2006-03-07,2.09500
2006-03-08,2.09500
2006-03-09,2.09500
2006-03-10,2.09500
2006-03-13,2.10250
2006-03-14,2.11000
2006-03-15,2.11000
2006-03-16,2.11250
2006-03-17,2.11500
2006-03-20,2.12000
2006-03-21,2.11250
2006-03-22,2.10750
2006-03-23,2.11000
2006-03-24,2.10250
2006-03-27,2.10500
2006-03-28,2.10250
2006-03-29,2.10250
2006-03-30,2.10250
2006-03-31,2.10000
2006-04-03,2.10000
2006-04-04,2.09500
2006-04-05,2.09500
2006-04-06,2.09000
2006-04-07,2.09000
2006-04-10,2.09250
2006-04-11,2.09500
2006-04-12,2.09250
2006-04-13,2.09750
2006-04-18,2.09500
2006-04-19,2.09500
2006-04-20,2.09500
2006-04-21,2.10000
2006-04-24,2.09250
2006-04-25,2.09250
2006-04-26,2.09250
2006-04-27,2.08250
2006-04-28,2.08250
2006-05-02,2.07500
2006-05-03,2.07500
2006-05-04,2.09500
2006-05-05,2.09500
2006-05-08,2.09250
2006-05-09,2.09000
2006-05-10,2.09500
2006-05-11,2.08750
2006-05-12,2.09500
2006-05-15,2.09500
2006-05-16,2.09500
2006-05-17,2.09250
2006-05-18,2.09750
2006-05-19,2.09500
2006-05-22,2.10000
2006-05-23,2.09500
2006-05-24,2.09750
2006-05-25,2.10000
2006-05-26,2.10000
2006-05-30,2.10000
2006-05-31,2.10000
2006-06-01,2.10000
2006-06-02,2.10000
2006-06-05,2.09750
2006-06-06,2.09750
2006-06-07,2.09750
2006-06-08,2.09750
2006-06-09,2.09750
2006-06-12,2.09750
2006-06-13,2.09000
2006-06-14,2.09500
2006-06-15,2.10000
2006-06-16,2.10000
2006-06-19,2.12000
2006-06-20,2.41250
2006-06-21,2.48500
2006-06-22,2.44000
2006-06-23,2.45250
2006-06-26,2.48750
2006-06-27,2.54000
2006-06-28,2.38250
2006-06-29,2.35000
2006-06-30,2.35000
2006-07-03,2.35750
2006-07-04,2.35000
2006-07-05,2.35750
2006-07-06,2.35750
2006-07-07,2.35750
2006-07-10,2.35750
2006-07-11,2.36500
2006-07-12,2.36500
2006-07-13,2.36000
2006-07-14,2.35750
2006-07-17,2.35000
2006-07-18,2.35750
2006-07-19,2.35750
2006-07-20,2.36000
2006-07-21,2.35250
2006-07-24,2.36500
2006-07-25,2.36000
2006-07-26,2.36000
2006-07-27,2.36000
2006-07-28,2.36500
2006-07-31,2.36250
2006-08-01,2.36000
2006-08-02,2.36000
2006-08-03,2.35750
2006-08-04,2.35750
2006-08-07,2.36000
2006-08-08,2.35250
2006-08-09,2.36000
2006-08-10,2.35500
2006-08-11,2.35500
2006-08-14,2.35500
2006-08-15,2.35250
2006-08-16,2.35000
2006-08-17,2.35000
2006-08-18,2.35000
2006-08-21,2.35000
2006-08-22,2.35250
2006-08-23,2.35000
2006-08-24,2.35000
2006-08-25,2.35250
2006-08-29,2.35250
2006-08-30,2.37750
2006-08-31,2.36500
2006-09-01,2.36500
2006-09-04,2.52750
2006-09-05,2.60000
2006-09-06,2.59500
2006-09-07,2.59500
2006-09-08,2.59500
2006-09-11,2.58750
2006-09-12,2.59750
2006-09-13,2.59500
2006-09-14,2.59500
2006-09-15,2.59500
2006-09-18,2.59750
2006-09-19,2.60000
2006-09-20,2.59500
2006-09-21,2.59500
2006-09-22,2.59500
2006-09-25,2.59500
2006-09-26,2.59500
2006-09-27,2.59500
2006-09-28,2.60000
2006-09-29,2.60000
2006-10-02,2.60000
2006-10-03,2.59750
2006-10-04,2.59750
2006-10-05,2.59500
2006-10-06,2.60000
2006-10-09,2.60000
2006-10-10,2.60000
2006-10-11,2.60000
2006-10-12,2.60000
2006-10-13,2.60000
2006-10-16,2.60000
2006-10-17,2.60000
2006-10-18,2.60000
2006-10-19,2.60000
2006-10-20,2.60000
2006-10-23,2.59500
2006-10-24,2.59500
2006-10-25,2.60000
2006-10-26,2.60000
2006-10-27,2.60000
2006-10-30,2.71000
2006-10-31,2.85000
2006-11-01,2.85000
2006-11-02,2.85000
2006-11-03,2.85000
2006-11-06,2.85000
2006-11-07,2.85000
2006-11-08,2.84750
2006-11-09,2.84750
2006-11-10,2.85000
2006-11-13,2.85250
2006-11-14,2.85000
2006-11-15,2.85250
2006-11-16,2.85000
2006-11-17,2.85250
