DATE,VALUE
2001-01-02,6.59125
2001-01-03,6.56375
2001-01-04,6.07500
2001-01-05,6.04500
2001-01-08,6.03250
2001-01-09,6.02500
2001-01-10,6.01375
2001-01-11,6.00875
2001-01-12,6.01125
2001-01-15,6.02250
2001-01-16,6.01875
2001-01-17,6.01500
2001-01-18,5.97375
2001-01-19,5.93000
2001-01-22,5.89750
2001-01-23,5.87125
2001-01-24,5.88625
2001-01-25,5.83500
2001-01-26,5.74250
2001-01-29,5.68000
2001-01-30,5.63375
2001-01-31,5.58750
2001-02-01,5.57375
2001-02-02,5.57125
2001-02-05,5.58375
2001-02-06,5.58250
2001-02-07,5.58125
2001-02-08,5.58000
2001-02-09,5.57875
2001-02-12,5.58125
2001-02-13,5.57875
2001-02-14,5.57750
2001-02-15,5.58000
2001-02-16,5.58000
2001-02-19,5.57875
2001-02-20,5.57875
2001-02-21,5.57625
2001-02-22,5.56906
2001-02-23,5.56750
2001-02-26,5.52375
2001-02-27,5.43750
2001-02-28,5.33125
2001-03-01,5.48500
2001-03-02,5.54125
2001-03-05,5.53750
2001-03-06,5.53250
2001-03-07,5.50375
2001-03-08,5.40000
2001-03-09,5.35750
2001-03-12,5.33625
2001-03-13,5.30625
2001-03-14,5.27125
2001-03-15,5.09125
2001-03-16,5.04641
2001-03-19,5.01250
2001-03-20,5.00875
2001-03-21,5.09797
2001-03-22,5.09625
2001-03-23,5.12125
2001-03-26,5.11750
2001-03-27,5.11750
2001-03-28,5.12375
2001-03-29,5.11750
2001-03-30,5.11125
2001-04-02,5.09922
2001-04-03,5.09500
2001-04-04,5.08625
2001-04-05,5.09047
2001-04-06,5.09000
2001-04-09,5.07781
2001-04-10,5.07281
2001-04-11,5.06906
2001-04-12,5.08125
2001-04-17,5.08125
2001-04-18,5.08250
2001-04-19,4.56156
2001-04-20,4.56281
2001-04-23,4.56000
2001-04-24,4.55250
2001-04-25,4.54641
2001-04-26,4.55000
2001-04-27,4.55375
2001-04-30,4.54750
2001-05-01,4.55375
2001-05-02,4.55125
2001-05-03,4.49750
2001-05-04,4.44594
2001-05-08,4.28250
2001-05-09,4.25375
2001-05-10,4.14750
2001-05-11,4.13750
2001-05-14,4.15375
2001-05-15,4.14125
2001-05-16,4.10125
2001-05-17,4.09750
2001-05-18,4.09250
2001-05-21,4.09000
2001-05-22,4.08750
2001-05-23,4.08500
2001-05-24,4.08375
2001-05-25,4.08250
2001-05-29,4.08250
2001-05-30,4.08000
2001-05-31,4.08000
2001-06-01,4.07500
2001-06-04,4.07000
2001-06-05,4.07000
2001-06-06,4.06625
2001-06-07,4.06531
2001-06-08,4.06031
2001-06-11,4.06406
2001-06-12,4.06156
2001-06-13,4.05656
2001-06-14,4.06031
2001-06-15,4.05500
2001-06-18,4.00125
2001-06-19,3.97234
2001-06-20,3.92750
2001-06-21,3.88375
2001-06-22,3.83375
2001-06-25,3.80125
2001-06-26,3.77766
2001-06-27,3.77000
2001-06-28,3.84625
2001-06-29,3.87125
2001-07-02,3.86813
2001-07-03,3.85500
2001-07-04,3.84875
2001-07-05,3.84875
2001-07-06,3.84547
2001-07-09,3.84375
2001-07-10,3.83750
2001-07-11,3.83125
2001-07-12,3.83000
2001-07-13,3.82875
2001-07-16,3.82875
2001-07-17,3.82875
2001-07-18,3.82750
2001-07-19,3.82500
2001-07-20,3.82406
2001-07-23,3.82375
2001-07-24,3.82250
2001-07-25,3.82500
2001-07-26,3.82625
2001-07-27,3.82625
2001-07-30,3.82125
2001-07-31,3.82250
2001-08-01,3.81500
2001-08-02,3.80875
2001-08-03,3.80750
2001-08-06,3.80500
2001-08-07,3.79766
2001-08-08,3.78516
2001-08-09,3.72359
2001-08-10,3.70484
2001-08-13,3.69750
2001-08-14,3.67500
2001-08-15,3.65703
2001-08-16,3.63750
2001-08-17,3.61250
2001-08-20,3.58875
2001-08-21,3.58625
2001-08-22,3.58000
2001-08-23,3.58000
2001-08-24,3.58000
2001-08-28,3.58000
2001-08-29,3.58797
2001-08-30,3.58422
2001-08-31,3.58172
2001-09-03,3.58250
2001-09-04,3.58125
2001-09-05,3.58000
2001-09-06,3.57750
2001-09-07,3.57406
2001-09-10,3.55625
2001-09-11,3.55250
2001-09-12,3.80000
2001-09-13,3.95625
2001-09-14,3.91000
2001-09-17,3.51750
2001-09-18,3.10000
2001-09-19,2.75125
2001-09-20,2.71000
